"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceepi-pauta-1";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"17/Janeiro";"17/Janeiro/2019";"";"";"";"Pauta - 17/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20001-%2017-01-19%20-%20ord.pdf";"Pauta - 17/Janeiro/2019"
"ceepi-pauta-2";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"18/Janeiro";"18/Janeiro/2019";"";"";"";"Pauta - 18/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20002-%2018-01-19%20-%20extraord.pdf";"Pauta - 18/Janeiro/2019"
"ceepi-pauta-3";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"24/Janeiro";"24/Janeiro/2019";"";"";"";"Pauta - 24/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20003-%2024-01-19%20-%20ord%20-.pdf";"Pauta - 24/Janeiro/2019"
"ceepi-pauta-4";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"25/Janeiro";"25/Janeiro/2019";"";"";"";"Pauta - 25/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20004-%2025-01-19%20-%20extraord.pdf";"Pauta - 25/Janeiro/2019"
"ceepi-pauta-5";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"28/Janeiro";"28/Janeiro/2019";"";"";"";"Pauta - 28/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20005-%2028-01-19%20-%20extraord.pdf";"Pauta - 28/Janeiro/2019"
"ceepi-pauta-6";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"31/Janeiro";"31/Janeiro/2019";"";"";"";"Pauta - 31/Janeiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20006-%2031-01-19%20-%20ord%20-.pdf";"Pauta - 31/Janeiro/2019"
"ceepi-pauta-7";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"07/Fevereiro";"07/Fevereiro/2019";"";"";"";"Pauta - 07/Fevereiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20007-%2007-02-19%20-%20ord%20-.pdf";"Pauta - 07/Fevereiro/2019"
"ceepi-pauta-8";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"08/Fevereiro";"08/Fevereiro/2019";"";"";"";"Pauta - 08/Fevereiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20008-%2008-02-19%20-%20extraord.pdf";"Pauta - 08/Fevereiro/2019"
"ceepi-pauta-9";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"14/Fevereiro";"14/Fevereiro/2019";"";"";"";"Pauta - 14/Fevereiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20009-%2014-02-19%20-%20ord%20-.pdf";"Pauta - 14/Fevereiro/2019"
"ceepi-pauta-10";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"19/Fevereiro";"19/Fevereiro/2019";"";"";"";"Pauta - 19/Fevereiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20010-%2019-02-19%20-%20ext%20-.pdf";"Pauta - 19/Fevereiro/2019"
"ceepi-pauta-11";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/0%20pautas%202019.htm";"Pauta";"21/Fevereiro";"21/Fevereiro/2019";"";"";"";"Pauta - 21/Fevereiro/2019";"";"http://www.ceepi.pro.br/Sess%C3%B5es/Pautas%202019/PAUTA%20-%20011-%2021-02-19%20-%20ord%20-.pdf";"Pauta - 21/Fevereiro/2019"
