"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceeap-resolucao-1";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"046/2014";"2014";"";"";"";"ESTABELECE NORMAS PARA A ORGANIZAÇÃO DOS CALENDÁRIOS ESCOLARES DO SISTEMA ESTADUAL DE ENSINO DO AMAPÁ";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_2f34bbf09af6c64987afe1a9f9ac4e45.pdf";"Resolução n.º 046/2014"
"ceeap-resolucao-2";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"057/2015";"2015";"";"";"";"DISPÕE SOBRE A OFERTA DA EJA E DA EDUC. PROFIS. E TÉC., PARA PESSOAS PRIVADAS DE LIBERDADE, NOS ESTABELECIMENTOS PENAIS DO ESTADO DO AMAPÁ E DÁ OUTRAS PROVIDÊNCIAS";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_b1efdb165e8fc733f79eb321479aa65d.pdf";"Resolução n.º 057/2015"
"ceeap-resolucao-3";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"77/2014";"2014";"";"";"";"DISPÕE SOBRE CRIAÇÃO, CREDENC DE NSTITUIÇÕES DE ENS., AUTOR. PARA FUNC., RECON. E RENOVAÇÃO DE RECONHECIMENTO DE ETAPAS E MODALIDADES DA EDUCAÇÃO BÁSICA DO SIST. EST DE ENSINO";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_8562a2217758e1fef9fb667fab7d017b.pdf";"Resolução n.º 77/2014"
"ceeap-resolucao-4";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"056/2015";"2015";"";"";"";"ESTABELECE NORMAS PARA A EDUCAÇÃO BÁSICA, DE ACORDO COM A LEI Nº 9.39496, E LEGISLAÇÃO SUBSEQUENTE, NO SIST. DE ENS. DO EST. DO AP E REVOGA AS RESOL. Nº 083 2002, 35-07 e 28-1";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_9b06daacfd5dc57c94e056e185da8fc9.pdf";"Resolução n.º 056/2015"
"ceeap-resolucao-5";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"55/2014";"2014";"";"";"";"DISPÕE SOBRE A INCLUSÃO DO NOME SOCIAL DE TRAVESTIS E TRANSEXUAIS NOS REGISTROS ESCOLARES INTERNOS DAS ESCOLAS PÚBLICAS E PRIVADAS DA EDUCAÇÃO BÁSICA E DO ENSINO SUPERIOR DO SI";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_1f8a80ba83dc4d2cedea1cd92761d74e.pdf";"Resolução n.º 55/2014"
"ceeap-resolucao-6";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"138/2000";"2000";"";"";"";"Fixa normas para criação, autorização, reconhecimento, nucleação, cessação de atividades, verificação e inspeção de estabelecimentos no sistema estadual de ensino do Amapá.";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_c70a8faa281ca633cb3159c49c0e2e2a.pdf";"Resolução n.º 138/2000"
"ceeap-resolucao-7";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"83/2002";"2002";"";"";"";"Estabelece normas para a educação básica, de acordo com a Lei n.º 9.394/96, e legislação subsequente, no sistema de ensino do estado do Amapá e revoga as resoluções números 07/";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_2a27b7c112daae8e2d5008ab8d5cd3ba.pdf";"Resolução n.º 83/2002"
"ceeap-resolucao-8";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"77/1999";"1999";"";"";"";"Normatiza o ensino de Língua Estrangeira no estado do Amapá e dá outras providências.";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_6b8dc55472064512237669172737d084.pdf";"Resolução n.º 77/1999"
"ceeap-resolucao-9";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"68/2002";"2002";"";"";"";"Fixa normas para criação e funcionamento das escolas indígenas, autorização e reconhecimento de cursos, no âmbito da educação básica no estado do Amapá e dá outras provdências.";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_e66ec1c2503a002e9d9c55f2294b697d.pdf";"Resolução n.º 68/2002"
"ceeap-resolucao-10";"https://cee.portal.ap.gov.br/atos/arquivo/recomendacoes";"resolucao";"65/2001";"2001";"";"";"";"Fixa diretrizes para a educação profissional no sistema de ensino do estado do Amapá.";"";"https://editor.amapa.gov.br/arquivos_portais/publicacoes/CEE_f368565f821a993fb29cd87da86e1d69.pdf";"Resolução n.º 65/2001"
