"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"cme_manaus-lei-1";"cme.manaus.am.gov.br/legislacao-2/";"lei";"";"";"";"";"";"";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2018/04/LDB.pdf";"LDB"
"cme_manaus-lei-2";"cme.manaus.am.gov.br/legislacao-2/";"lei";"";"";"";"";"";"";"";"http://www2.manaus.am.gov.br/portal/secretarias/semad/legislacao/municipal/Leis/LeiMunicipaln1118de01desetembrode1971EstatutodoServidorPublicoManaus.pdf";"ESTATUTO DOS SERVIDORES"
"cme_manaus-lei-3";"cme.manaus.am.gov.br/legislacao-2/";"lei";"";"";"";"";"";"";"";"http://www2.manaus.am.gov.br/portal/servicos/Legisla%C3%A7%C3%A3o/lei_organica.pdf";"LOMAN"
"cme_manaus-lei-4";"cme.manaus.am.gov.br/legislacao-2/";"lei";"1.126";"";"";"";"";"PLANO DE CARGOS CARREIRAS E SUBSÍDIOS DOS PROFISSIONAIS DO MAGISTÉRIO";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Lei-nº-1.126-Plano-de-Cargos-Carreiras-e-Subsídios-dos-Profissionais-do-magistério.pdf";"Lei nº 1.126"
"cme_manaus-lei-5";"cme.manaus.am.gov.br/legislacao-2/";"lei";"1.878";"";"";"";"";"Altera o valor do auxílio alimentação";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2015/03/DOM-3424-04.06.2014-CAD-1.pdf";"Lei nº 1.878"
"cme_manaus-lei-6";"cme.manaus.am.gov.br/legislacao-2/";"lei";"1.905";"";"";"";"";"DISPÕE SOBRE O AUXÍLIO ALIMENTAÇÃO";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2015/05/DOM-3492-12.09.2014-CAD-1.pdf";"Lei nº 1.905"
"cme_manaus-decreto-1";"cme.manaus.am.gov.br/legislacao-2/";"decreto";"2.907";"";"";"";"";"Regulamenta o HTP dos professores do ensino fundamental da Rede Pública Municipal de Ensino de Manaus";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2015/05/DOM-3492-12.09.2014-CAD-1.pdf";"Decreto nº 2.907"
"cme_manaus-parecer-1";"http://cme.manaus.am.gov.br/pareceres-1998";"parecer";"002/1998";"1998";"";"";"";"Regimento Geral do Sistema Municipal de Educação.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-002-CME-1998.pdf";"Parecer nº 002/CME/1998"
"cme_manaus-parecer-2";"http://cme.manaus.am.gov.br/pareceres-1998";"parecer";"003/1998";"1998";"";"";"";"Projeto Aceleração da Aprendizagem.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-003-CME-1998.pdf";"Parecer nº 003/CME/1998"
"cme_manaus-parecer-3";"http://cme.manaus.am.gov.br/pareceres-1999";"parecer";"001/1999";"1999";"";"";"";"Projeto Avaliação Educacional.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-1999.pdf";"Parecer nº 001/CME/1999"
"cme_manaus-parecer-4";"http://cme.manaus.am.gov.br/pareceres-2000";"parecer";"001/2000";"2000";"";"";"";"Solicitação da liberação da Recuperação Final.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2000.pdf";"Parecer nº 001/CME/2000"
"cme_manaus-parecer-5";"http://cme.manaus.am.gov.br/pareceres-2001";"parecer";"007/2001";"2001";"";"";"";"Proposta de Alteração na Estrutura Curricular da Educação Municipal diminuindo a Carga Horária de Língua Portuguesa e Matemática e aumentando a de Arte e Ensino Religioso.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-007-CME-2001.pdf";"Parecer nº 007/CME/2001"
"cme_manaus-parecer-6";"http://cme.manaus.am.gov.br/pareceres-2002";"parecer";"003/2002";"2002";"";"";"";"Proposta Metodológica para o Primeiro Segmento do Ensino Fundamental / Educação de Jovens e Adultos.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-003-CME-2002.pdf";"Parecer nº 003/CME/2002"
"cme_manaus-parecer-7";"http://cme.manaus.am.gov.br/pareceres-2002";"parecer";"006/2002";"2002";"";"";"";"Plano de Aplicação do Salário Educação do Município de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-006-CME-2002.pdf";"Parecer nº 006/CME/2002"
"cme_manaus-parecer-8";"http://cme.manaus.am.gov.br/pareceres-2002";"parecer";"007/2002";"2002";"";"";"";"Projeto Classe Básica do Ensino Fundamental.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-007-CME-20021.pdf";"Parecer nº 007/CME/2002"
"cme_manaus-parecer-9";"http://cme.manaus.am.gov.br/pareceres/927-2";"parecer";"001/2003";"2003";"";"";"";"Plano de Aplicação Anual de 2003 / Repasse do Salário Educação ao Município de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2003.pdf";"Parecer nº 001/CME/2003"
"cme_manaus-parecer-10";"http://cme.manaus.am.gov.br/pareceres/927-2";"parecer";"002/2003";"2003";"";"";"";"Relatórios Físico – Financeiro 2002 e Prestação de Contas de agosto a dezembro de 2002.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-002-CME-2003.pdf";"Parecer nº 002/CME/2003"
"cme_manaus-parecer-11";"http://cme.manaus.am.gov.br/pareceres/pareceres-2004";"parecer";"004/2004";"2004";"";"";"";"Programa Telecurso 2000 – Orientações Gerais.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-004-CME-2004.pdf";"Parecer nº 004/CME/2004"
"cme_manaus-parecer-12";"http://cme.manaus.am.gov.br/pareceres/pareceres-2004";"parecer";"005/2004";"2004";"";"";"";"Proposta Ciclo de Formação Humana.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-005-CME-2004.pdf";"Parecer nº 005/CME/2004"
"cme_manaus-parecer-13";"http://cme.manaus.am.gov.br/pareceres/pareceres-2004";"parecer";"006/2004";"2004";"";"";"";"Balanço Geral 2003 e Plano de Aplicação Anual de 2004 / Repasse do Salário Educação ao Município de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-006-CME-2004.pdf";"Parecer nº 006/CME/2004"
"cme_manaus-parecer-14";"http://cme.manaus.am.gov.br/pareceres-2005";"parecer";"001/2005";"2005";"";"";"";"Análise e Aprovação do Plano de Recursos do Salário Educação";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2005.pdf";"Parecer nº 001/CME/2005"
"cme_manaus-parecer-15";"http://cme.manaus.am.gov.br/pareceres-2005";"parecer";"002/2005";"2005";"";"";"";"Substituição do Diário de Classe/2005 – SEMED";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-002-CME-2005.pdf";"Parecer nº 002/CME/2005"
"cme_manaus-parecer-16";"http://cme.manaus.am.gov.br/pareceres-2007";"parecer";"001/2007";"2007";"";"";"";"Legitimação – Ficha Utilizada em Substituição ao Diário de Classe no ano de 2007.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2007.pdf";"Parecer nº 001/CME/2007"
"cme_manaus-parecer-17";"http://cme.manaus.am.gov.br/pareceres-2007";"parecer";"002/2007";"2007";"";"";"";"Proposta da Institucionalização da disciplina Educação Física no turno noturno.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-002-CME-2007.pdf";"Parecer nº 002/CME/2007"
"cme_manaus-parecer-18";"http://cme.manaus.am.gov.br/pareceres-2007";"parecer";"003/2007";"2007";"";"";"";"Projeto Institucional – CME";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-003-CME-2007.pdf";"Parecer nº 003/CME/2007"
"cme_manaus-parecer-19";"http://cme.manaus.am.gov.br/pareceres-2007";"parecer";"004/2007";"2007";"";"";"";"Propositura de Regimento Interno adequado às novas alterações da Lei vigente";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-004-CME-2007.pdf";"Parecer nº 004/CME/2007"
"cme_manaus-parecer-20";"http://cme.manaus.am.gov.br/pareceres-2007";"parecer";"010/2007";"2007";"";"";"";"Definição da duração dos tempos de aula";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-010-CME-2007.pdf";"Parecer nº 010/CME/2007"
"cme_manaus-parecer-21";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"001/2008";"2008";"";"";"";"Apreciação do Estatuto do Conselho Escolar das Escolas da Rede Municipal de Ensino.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2008.pdf";"Parecer nº 001/CME/2008"
"cme_manaus-parecer-22";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"003/2008";"2008";"";"";"";"Autorização para Implantação do Programa de Formação de Professores Indígenas do Município de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-003-CME-2008.pdf";"Parecer nº 003/CME/2008"
"cme_manaus-parecer-23";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"005/2008";"2008";"";"";"";"Proposta Pedagógica – Creches Municipais";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-005-CME-2008.pdf";"Parecer nº 005/CME/2008"
"cme_manaus-parecer-24";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"009/2008";"2008";"";"";"";"Orientações Pedagógicas 2007";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-009-CME-2008.pdf";"Parecer nº 009/CME/2008"
"cme_manaus-parecer-25";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"010/2008";"2008";"";"";"";"Regimento Geral das Escolas Municipais da Rede Municipal de Ensino de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-010-CME-2008.pdf";"Parecer nº 010/CME/2008"
"cme_manaus-parecer-26";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"017/2008";"2008";"";"";"";"Propositura de Regimento Interno adequado às novas alterações da Lei vigente.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-017-CME-2008.pdf";"Parecer nº 017/CME/2008"
"cme_manaus-parecer-27";"http://cme.manaus.am.gov.br/pareceres/pareceres-2008";"parecer";"018/2008";"2008";"";"";"";"Aplicabilidade da Lei Nº 10.639/03 – Implantação das Diretrizes Curriculares Nacionais para a Educação das Relações Étnico-Raciais – Aprovação da Proposta Curricular do 6º ao 9º ano do Ensino Fundamental na Rede Municipal de Ensino.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-018-CME-2008.pdf";"Parecer nº 018/CME/2008"
"cme_manaus-parecer-28";"http://cme.manaus.am.gov.br/pareceres-2009";"parecer";"001/2009";"2009";"";"";"";"Estabelecimento de normas complementares para a implementação da Lei Federal nº 10.639/2003 de 09/01/2003, que altera a LDB nº 9.394/1996 de 20/12/1996 para todo o Sistema Municipal de Ensino.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-001-CME-2009.pdf";"Parecer nº 001/CME/2009"
"cme_manaus-parecer-29";"http://cme.manaus.am.gov.br/pareceres-2009";"parecer";"002/2009";"2009";"";"";"";"Apreciação do Estatuto do Conselho Escolar das Escolas da Rede Municipal de Ensino – Alterado no Cartório.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-002-CME-2009.pdf";"Parecer nº 002/CME/2009"
"cme_manaus-parecer-30";"http://cme.manaus.am.gov.br/pareceres-2009";"parecer";"006/2009";"2009";"";"";"";"Aprovação da Proposta Curricular do Ensino Fundamental do 1° ao 5° ano.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-006-CME-2009.pdf";"Parecer nº 006/CME/2009"
"cme_manaus-parecer-31";"http://cme.manaus.am.gov.br/pareceres-2009";"parecer";"008/2009";"2009";"";"";"";"Aprovação da Estrutura Curricular do Ensino Fundamental de 9 anos.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/04/Parecer-n.-008-CME-2009.pdf";"Parecer nº 008/CME/2009"
"cme_manaus-parecer-32";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"002/2010";"2010";"";"";"";"Análise da Nova Proposta Curricular da Educação de Jovens e Adultos – EJA / 1º Segmento.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-002-CME-20101.pdf";"Parecer nº 002/CME/2010"
"cme_manaus-parecer-33";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"004/2010";"2010";"";"";"";"Reformulação do Regimento Interno.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-004-CME-2010.pdf";"Parecer nº 004/CME/2010"
"cme_manaus-parecer-34";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"005/2010";"2010";"";"";"";"Proposta Curricular da Educação Infantil – Creche e Pré – Escola.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-005-CME-2010.pdf";"Parecer nº 005/CME/2010"
"cme_manaus-parecer-35";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"006/2010";"2010";"";"";"";"Alteração da Resolução n. 005/CME/1998.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-006-CME-2010.pdf";"Parecer nº 006/CME/2010"
"cme_manaus-parecer-36";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"007/2010";"2010";"";"";"";"Redimensionamento da Proposta Curricular de 1º ao 5º ano do Ensino Fundamental – Plano de Implementação do Ensino Fundamental de nove anos.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-007-CME-2010.pdf";"Parecer nº 007/CME/2010"
"cme_manaus-parecer-37";"http://cme.manaus.am.gov.br/pareceres-2010/";"parecer";"009/2010";"2010";"";"";"";"Plano de Implementação do Ensino Fundamental de 9 anos e Proposta Curricular do Ensino Fundamental do 6º ao 9 º ano.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-009-CME-2010.pdf";"Parecer nº 009/CME/2010"
"cme_manaus-parecer-38";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"001/2011";"2011";"";"";"";"Apreciação de Exposição de Motivos para o não cumprimento, em caráter excepcional, da Resolução n. 010/2010-CME/MANAUS.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-001-CME-2011.pdf";"Parecer nº 001/CME/2011"
"cme_manaus-parecer-39";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"002/2011";"2011";"";"";"";"Minuta de Decreto que dispõe sobre funcionamento de escolas indígenas e criação da categoria de professores indígenas no âmbito do Sistema de Ensino Municipal.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-002-CME-2011.pdf";"Parecer nº 002/CME/2011"
"cme_manaus-parecer-40";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"003/2011";"2011";"";"";"";"Regulamentação da Lei n. 11645/2008 para o Sistema Municipal de Ensino.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-003-CME-2011.pdf";"Parecer nº 003/CME/2011"
"cme_manaus-parecer-41";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"005/2011";"2011";"";"";"";"Regularização de Cursos do Ensino Fundamental da Rede Municipal de Ensino de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-005-CME-2011.pdf";"Parecer nº 005/CME/2011"
"cme_manaus-parecer-42";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"006/2011";"2011";"";"";"";"Atualização das Resoluções n. 002/CME/1998, 013/CME/1999 e 003/CME/2000, que dispõem sobre Progressão Parcial.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-006-CME-2011.pdf";"Parecer nº 006/CME/2011"
"cme_manaus-parecer-43";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"007/2011";"2011";"";"";"";"Instituição da Medalha de Mérito Educacional e a Placa de Condecoração em âmbito Municipal.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-007-CME-2011.pdf";"Parecer nº 007/CME/2011"
"cme_manaus-parecer-44";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"008/2011";"2011";"";"";"";"Sugestões para alteração da Resolução n.05/2003/CME, encaminhado pelo Departamento de Gestão Educacional/SEMED/Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-008-CME-2011.pdf";"Parecer nº 008/CME/2011"
"cme_manaus-parecer-45";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"009/2011";"2011";"";"";"";"Convalidação da Resolução n. 004/CME/GS/2002 que aprovou a proposta metodológica      SESI/EDUCA na Rede Municipal de Ensino.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-009-CME-2011.pdf";"Parecer nº 009/CME/2011"
"cme_manaus-parecer-46";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"010/2011";"2011";"";"";"";"Atualização da Resolução n. 004/CME/2001, que trata da Educação de Jovens e Adultos – EJA.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-010-CME-2011.pdf";"Parecer nº 010/CME/2011"
"cme_manaus-parecer-47";"http://cme.manaus.am.gov.br/pareceres-2011/";"parecer";"011/2011";"2011";"";"";"";"Regimento Geral das Unidades de Ensino da Rede Pública Municipal de Manaus.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/03/Parecer-n.-011-CME-2011.pdf";"Parecer nº 011/CME/2011"
"cme_manaus-parecer-48";"http://cme.manaus.am.gov.br/pareceres-2012/";"parecer";"004/2012";"2012";"";"";"";"Processo de Avaliação Ensino – Aprendizagem.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Parecer-n.-004-CME-20122.pdf";"Parecer nº 004/CME/2012"
"cme_manaus-parecer-49";"http://cme.manaus.am.gov.br/pareceres-2012/";"parecer";"007/2012";"2012";"";"";"";"Regimento Geral das Unidades de Ensino da Rede Pública Municipal.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Parecer-n.-007-CME-20121.pdf";"Parecer nº 007/CME/2012"
"cme_manaus-parecer-50";"http://cme.manaus.am.gov.br/pareceres-2012/";"parecer";"012/2012";"2012";"";"";"";"Posicionamento sobre o efetivo Trabalho Escolar.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Parecer-n.-012-CME-20121.pdf";"Parecer nº 012/CME/2012"
"cme_manaus-parecer-51";"http://cme.manaus.am.gov.br/pareceres-2012/";"parecer";"018/2012";"2012";"";"";"";"Apreciação e aprovação da Proposta Pedagógica do Ensino Fundamental na modalidade de Educação de Jovens e Adultos – EJA, 2ºSegmento (6º ao 9º ano).";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Parecer-n.-018-CME-20121.pdf";"Parecer nº 018/CME/2012"
"cme_manaus-parecer-52";"http://cme.manaus.am.gov.br/pareceres-2012/";"parecer";"022/2012";"2012";"";"";"";"Novo Parecer: Programa Aceleração da Aprendizagem.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2013/04/Parecer-n.-022-CME-20121.pdf";"Parecer nº 022/CME/2012"
"cme_manaus-parecer-53";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"009/2013";"2013";"";"";"";"Proposta Pedagógica do Programa Municipal de Escolarização do Adulto e da Pessoa Idosa – PROMEAPI";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-009-CME-2013.pdf";"Parecer nº 009/CME/2013"
"cme_manaus-parecer-54";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"021/2013";"2013";"";"";"";"Revogação da Resolução n. 011/CME/2000";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-021-CME-2013.pdf";"Parecer nº 021/CME/2013"
"cme_manaus-parecer-55";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"023/2013";"2013";"";"";"";"Atualização da Resolução n. 002/CME/2008 que estabelece normas para a admissão dos docentes da disciplina Ensino Religioso no Sistema Municipal de Ensino";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-023-CME-2013.pdf";"Parecer nº 023/CME/2013"
"cme_manaus-parecer-56";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"026/2013";"2013";"";"";"";"Provão Eletrônico – Proposta de Estrutura e Funcionamento do Exame Supletivo em Nível de Ensino Fundamental nos Anos Finais da Educação de Jovens e Adultos Segundo Segmento";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-026-CME-2013.pdf";"Parecer nº 026/CME/2013"
"cme_manaus-parecer-57";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"028/2013";"2013";"";"";"";"Inclusão da temática Educação Fiscal nos níveis e modalidades de ensino";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-028-CME-2013.pdf";"Parecer nº 028/CME/2013"
"cme_manaus-parecer-58";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"029/2013";"2013";"";"";"";"Proposta da Estrutura Curricular do Ensino Fundamental de 9 (nove) Anos com um Bloco Pedagógico nos Três Anos Iniciais.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-029-CME-2013.pdf";"Parecer nº 029/CME/2013"
"cme_manaus-parecer-59";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"030/2013";"2013";"";"";"";"Proposta Curricular do Ensino Fundamental (Anos Finais)";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-030-CME-2013.pdf";"Parecer nº 030/CME/2013"
"cme_manaus-parecer-60";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"033/2013";"2013";"";"";"";"Proposta de Reestruturação do Projeto Educação Itinerante do Ensino Fundamental (anos finais) e minuta de Resolução do Projeto.";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-033-CME-2013.pdf";"Parecer nº 033/CME/2013"
"cme_manaus-parecer-61";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"036/2013";"2013";"";"";"";"Apreciação e Aprovação da Minuta da Resolução e da Proposta Pedagógica das Unidades de Ensino de Tempo Integral – Turno Único da Rede Pública Municipal de Educação";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-036-CME-2013.pdf";"Parecer nº 036/CME/2013"
"cme_manaus-parecer-62";"http://cme.manaus.am.gov.br/pareceres-2013";"parecer";"037/2013";"2013";"";"";"";"Análise do Termo de Compromisso Municipal do Programa Saúde na Escola (PSE), firmado entre a SEMSA e SEMED";"";"http://cme.manaus.am.gov.br/wp-content/uploads/2014/05/Parecer-n.-037-CME-2013.pdf";"Parecer nº 037/CME/2013"
