"Id";"Esfera";"Municipio";"Estado";"Nome";"Sigla";"Url Curta";"Gestão"
"uncme-1";"municipal";"Abadia de Goiás";"GO";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ABADIA DE GOIÁS - GO";"CME-ABADIA-DE-GOIÁS-GO";"abadiadegoias-go";"PRESIDENTE: ANTONIO RIBEIRO SILVA "
"uncme-2";"municipal";"Abaetetuba";"PA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ABAETETUBA - PA";"CME-ABAETETUBA-PA";"abaetetuba-pa";"PRESIDENTE: MANOEL CARLOS GUIMARÃES"
"uncme-3";"municipal";"Abaiara";"CE";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ABAIARA - CE";"CME-ABAIARA-CE";"abaiara-ce";"PRESIDENTE: JOSÉ EVANTUIL DE SOUSA"
"uncme-4";"municipal";"Abaíra";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ABAÍRA - BA";"CME-ABAÍRA-BA";"abaira-ba";"PRESIDENTE: RAIKA BRITO LUZ ALENCAR"
"uncme-5";"municipal";"Açailândia";"MA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE AÇAILÂNDIA - MA";"CME-AÇAILÂNDIA-MA";"acailandia-ma";"PRESIDENTE: FRANCISCO ROMBERG ARAUJO DOS SANTOS"
"uncme-6";"municipal";"Acajutiba";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ACAJUTIBA - BA";"CME-ACAJUTIBA-BA";"acajutiba-ba";"PRESIDENTE: JOSÉ CARLOS DA SILVA"
"uncme-7";"municipal";"Acauã";"PI";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ACAUÃ - PI";"CME-ACAUÃ-PI";"acaua-pi";"PRESIDENTE: FRANCISCA NUBIA DA COSTA ARAUJO"
"uncme-8";"municipal";"Aceguá";"RS";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ACEGUÁ - RS";"CME-ACEGUÁ-RS";"acegua-rs";"PRESIDENTE: RITA MARA ACORDI SILVEIRA"
"uncme-9";"municipal";"Adamantina";"SP";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ADAMANTINA - SP";"CME-ADAMANTINA-SP";"adamantina-sp";"PRESIDENTE: EVA CRISTINA DE CARVALHO SOUZA MENDES"
"uncme-10";"municipal";"Adustina";"BA";"CONSELHO MUNICIPAL DE EDUCAÇÃO DE ADUSTINA - BA";"CME-ADUSTINA-BA";"adustina-ba";"PRESIDENTE: SUELY REIS DOS SANTOS"
