"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceeal-resolucoes-1";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"145/2018-cee/al";"";"";"";"";"Dispõe sobre o estabelecimento de normas e procedimentos para ingresso de Conselheiros, por segmento, para a composição do Conselho Estadual de Educação de Alagoas – CEE/AL e dá outras providências.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/RESOLUCaO%20No%20145-2018%20-%20Normas%20de%20ingresso%20de%20novos%20conselheiros.pdf";"RESOLUÇÃO Nº 145/2018-CEE/AL"
"ceeal-resolucoes-2";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"050/2018 - validação da eja";"";"";"";"";"Regulamentação da Educação de Jovens e Adultos no âmbito do Sistema Estadual de Ensino de Alagoas e dá outras providências.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/RESOLUCaO%20No.%20050.2018%20-%20Regularizacao%20de%20Jovens%20e%20Adultos%20no%20ambito%20do%20Sistema%20Estadual%20de%20Ensino%20Alagoas.pdf";"Resolução 050/2018 - Validação da EJA"
"ceeal-resolucoes-3";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"01/2018 - cee/al - nova redação ao artigo 3º da 018/2017/cee/al,";"";"";"";"";"Dá nova redação ao Artigo 3º da Resolução 018/2017/CEE/Al, , que concede Atos Reguladores, em caráter excepcional para instituições educacionais das redes públicas e privadas de ensino.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/RESOLUCaO%20No%201-2018%20-%20NOVA%20REDACaO%20ART%203%20DA%20RESOLUCaO%20No%2018-2017.pdf";"RESOLUÇÃO Nº 01/2018 - CEE/AL - Nova redação ao Artigo 3º da Resolução 018/2017/CEE/Al,"
"ceeal-resolucoes-4";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"018/2017 - cee/al - processos remanescentes no âmbito das câmaras de educação básica e de educação profissional do conselho estadual de educação de alagoas.";"";"";"";"";"Concede, em caráter excepcional, os Atos Reguladores das instituições educacionais das redes públicas e privadas do Sistema Estadual de Ensino de Alagoas, com processos remanescentes no âmbito das Câmaras de Educação Básica e de Educação Profissional do Conselho Estadual de Educação de Alagoas.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/RESOLUCaO%20no%2018.2017%202013%20CEE-AL%20-Processos%20remanescentes%20no%20ambito%20das%20Camaras%20de%20Educacao%20Basica%20e%20de%20Educacao%20Profissional.pdf";"RESOLUÇÃO Nº 018/2017 - CEE/AL - Processos remanescentes no âmbito das Câmaras de Educação Básica e de Educação Profissional do Conselho Estadual de Educação de Alagoas."
"ceeal-resolucoes-5";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"normativa  02/2014 – cee/al";"";"";"";"";"Dispõe sobre a oferta de Educação Básica e Superior, nas modalidades de Educação de Jovens e Adultos, Profissional/Tecnológica e a Distância, para pessoas privadas de liberdade, nos estabelecimentos penais do Estado de Alagoas e dá outras providências correlatas.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/Res%20no%2002-2014%20Educacao%20nas%20Prisoes%20Corrigida.pdf";"RESOLUÇÃO NORMATIVA Nº 02/2014 – CEE/AL"
"ceeal-resolucoes-6";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"028/2016 ceb/cep-cee/al";"";"";"";"";"Concede a Validação dos Estudos Ofertados até o Ano Letivo de 2016 pelas Escolas de Educação Básica do Sistema de Ensino de Alagoas e dá outras Providências.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/RESOLUCaO%2028-2016%20CEB.CEP-CEE.AL.pdf";"RESOLUÇÃO Nº 028/2016 CEB/CEP-CEE/AL"
"ceeal-resolucoes-7";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"040/2014-cee/al";"";"";"";"";"Dispõe sobre a regulamentação da oferta de Educação do Campo no Sistema Estadual de Educação de Alagoas e dá outras providências correlatas.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/2.%20Resoluaa7aa3o%20Normativa%20de%20Ed%20do%20Campo.pdf";"Resolução nº 040/2014-CEE/AL"
"ceeal-resolucoes-8";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"07/2014 -cee/al";"";"";"";"";"Define normas complementares para a implementação de Regras e Procedimentos Específicos para a Regulação das Instituições e Cursos do Sistema Estadual de Ensino Superior, frente à Resolução Nº 07/2014 CEE/AL, e estabelece providências correlatas.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/Resol%20no%2007%20de%202014-CEE-AL-Ciclos%20Avaliativos.pdf";"RESOLUÇÃO Nº. 07/2014 -CEE/AL"
"ceeal-resolucoes-9";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"001/2002-cee/al";"";"";"";"";"Institui as Normas Gerais de funcionamento das Audiências Públicas do CEE/AL.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/Resolucao%20%20n%20%2001%20%20-%20%20Audiencias%20Publicas.pdf";"RESOLUÇÃO Nº 001/2002-CEE/AL"
"ceeal-resolucoes-10";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee";"resolucoes";"06/2014 -cee/al";"";"";"";"";"Redefine as normas do CEE/AL que estabelecem regras e procedimentos específicos para o Sistema Estadual de Ensino Superior frente ao Capítulo IV da Lei nº. 9.394/96 - LDBEN.";"";"http://cee.al.gov.br/legislacao/atos-normativos/resolucoes-cee/Resol%20no%2006%20de%202014-CEE-AL-Regulacao%20das%20IES.pdf";"RESOLUÇÃO Nº. 06/2014 -CEE/AL"
