Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceems-parecer-1;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;351/2018;2018-12-31;;;;- Regulamentação do Currículo de Referência de Mato Grosso do Sul para o Sistema Estadual de Ensino nas etapas da educação infantil e do ensino fundamental.;;http://www.cee.ms.gov.br/wp-content/uploads/2019/01/Par-351-2018-BNCC.pdf;Parecer CEE/MS n.º 351/2018
ceems-parecer-2;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;308/2013;2013-12-31;;;; Dispõe sobre o atendimento escolar de jovens e adultos com deficiência, transtornos globais do desenvolvimento e altas habilidades ou superdotação nas escolas do Sistema Estadual de Ensino de Mato Grosso do Sul.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-308-2013.pdf;Parecer CEE/MS n.º 308/2013
ceems-parecer-3;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;56/2013;2013-12-31;;;; Parecer Orientativo sobre a organização curricular do ensino fundamental nas escolas especiais do Sistema Estadual de Ensino de Mato Grosso do Sul.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/parecer-056-2013-publica%C3%A7%C3%A3o.pdf;Parecer CEE/MS n.º 56/2013
ceems-parecer-4;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;64/2012;2012-12-31;;;; Credenciamento, em caráter excepcional, dos Centros de Atendimento Educacional Especializado (CAEEs) para oferecer Atendimento Educacional Especializado (AEE).;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-64-2012.pdf;Parecer CEE/MS n.º 64/2012
ceems-parecer-5;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;63/2011;2011-12-31;;;; Amplia as competências estabelecidas pela Deliberação CEE/MS nº 9375, de 6 de outubro de 2010, a outras instituições de ensino do Sistema Estadual de Ensino de Mato Grosso do Sul.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-063-2011.pdf;Parecer CEE/MS n.º 63/2011
ceems-parecer-6;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;332/2011;2011-12-31;;;; Alteração do art. 43 da Deliberação CEE/MS n.° 9191, de 26 de novembro de 2009, que estabelece normas para a educação básica no Sistema Estadual de Ensino de Mato Grosso do Sul, e revogação do artigo 4º da Deliberação CEE/MS n.° 9345, de 5 de julho de 2010, que altera dispositivos da Deliberação CEE/MS n.º 9191/2009.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-332-2011.pdf;Parecer CEE/MS n.º 332/2011
ceems-parecer-7;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;141/2011;2011-12-31;;;; Ampliação do prazo de vigência dos atos autorizativos das escolas especiais.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-141-2011.pdf;Parecer CEE/MS n.º 141/2011
ceems-parecer-8;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;185/2010;2010-12-31;;;; Parecer que trata da ampliação do prazo dos atos de autorização de funcionamento da educação infantil e do ensino fundamental de escolas especiais.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-185-2010.pdf;Parecer CEE/MS n.º 185/2010 
ceems-parecer-9;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;235/2009;2009-12-31;;;; Parecer Orientativo para a oferta da Língua Espanhola no Sistema Estadual de Ensino de Mato Grosso do Sul.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/parecer-orientativo-n%C2%BA-235-lingua-espanhola.pdf;Parecer CEE/MS n.º 235/2009 
ceems-parecer-10;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;113/2009;2009-12-31;;;; Parecer que estabelece normas e estratégias pedagógico-administrativas para o processo de avaliação e de certificação de competências referentes à educação profissional técnica de nível médio.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/parecer-n%C2%BA-113.pdf;Parecer CEE/MS n.º 113/2009
ceems-parecer-11;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;137/2007;2007-12-31;;;; Parecer Orientativo sobre a aplicabilidade da Deliberação CEE/MS nº 8144/2006.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-137-2007.pdf;Parecer Orientativo CEE/MS n.º 137/2007
ceems-parecer-12;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;235/2006;2006-12-31;;;; Parecer Orientativo sobre a inserção da Cultura Sul-Mato-Grossense, na Educação Básica do Sistema Estadual de Ensino.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-235-2006.pdf;Parecer Orientativo CEE/MS n.º 235/2006 
ceems-parecer-13;http://www.cee.ms.gov.br/atos-normativos/pareceres/;parecer;133/2005;2005-12-31;;;; Parecer sobre a Educação para o Trânsito, na Educação Básica e suas modalidades.;;http://www.cee.ms.gov.br/wp-content/uploads/2015/08/par-133-20051.pdf;Parecer Orientativo CEE/MS n.º 133/2005
