Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceemt-1;http://www.cee.mt.gov.br/legislacao;Notas, Pareceres e Deliberações;DELIBERAÇÃO CEB Nº 02/2013;31/12/2013;;;;Propor ações que permitam inteiro cumprimento ao estabelecido na Resolução Normativa N.º 001/2012 que fixa normas da Educação Especial, na Educação Básica do Sistema Estadual de Ensino de Mato Grosso. ;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1366;DELIBERAÇÃO CEB Nº 02/2013
ceemt-2;http://www.cee.mt.gov.br/legislacao;Notas, Pareceres e Deliberações;DELIBERAÇÃO CEB Nº 01/2013;31/12/2013;;;;Estabelece procedimentos para CONVALIDAÇÃO DOS ESTUDOS realizados irregularmente em Instituições de Ensino de Mato Grosso. ;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1364;DELIBERAÇÃO CEB Nº 01/2013
ceemt-4;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;9ª Reunião Ordinária da Plenária.;07/05/2019;;;;Pauta da 9ª Reunião Ordinária da Plenária.;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1458;9ª Reunião Ordinária da Plenária.
ceemt-5;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;8ª Reunião Ordinária da Plenária.;23/04/2019;;;;Pauta da 8ª Reunião Ordinária da Plenária.;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1457;8ª Reunião Ordinária da Plenária.
ceemt-6;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;6ª Reunião Extraordinária da Plenária ;12/04/2019;;;;Pauta da 6ª Reunião Extraordinária da Plenária ;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1456;6ª Reunião Extraordinária da Plenária 
ceemt-7;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;7ª Reunião Ordinária da Plenária.;09/04/2019;;;;Pauta da 7ª Reunião Ordinária da Plenária.;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1459;7ª Reunião Ordinária da Plenária.
ceemt-8;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;5ª Reunião Extraordinária da Plenária. ;02/04/2019;;;;Pauta da 5ª Reunião Extraordinária da Plenária. ;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1455;5ª Reunião Extraordinária da Plenária. 
ceemt-9;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;6ª Reunião Ordinária da Plenária.;26/03/2019;;;;Pauta da 6ª Reunião Ordinária da Plenária.;;;6ª Reunião Ordinária da Plenária.
ceemt-10;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;3ª Reunião Extraordinária da Plenária.;19/03/2019;;;;Pauta da 3ª Reunião Extraordinária da Plenária. ;;http://www.cee.mt.gov.br/legislacao?p_p_id=legislacao_WAR_mtprevportlet&p_p_lifecycle=2&p_p_state=normal&p_p_mode=view&p_p_cacheability=cacheLevelPage&p_p_col_id=column-1&p_p_col_count=1&_legislacao_WAR_mtprevportlet_javax.faces.resource=legislacaoDownload&_legislacao_WAR_mtprevportlet_ln=legislacaoResources&_legislacao_WAR_mtprevportlet_legislacaoId=1460;3ª Reunião Extraordinária da Plenária.
ceemt-11;http://www.cee.mt.gov.br/legislacao;Pautas e Atas da Plenária;5ª Reunião Ordinária da Plenária.;12/03/2019;;;;Pauta da 5ª Reunião Ordinária da Plenária.;;;5ª Reunião Ordinária da Plenária.
