Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceepa-resolucao-1;http://www.cee.pa.gov.br/?q=node/108;resolucao;219/2019;04 de ABRIL de 2019;;;;Dispõe sobre a criação, denominação e extinção de Escolas Públicas no Sistema Estadual de Ensino do Pará e dá outras providências.;;http://www.cee.pa.gov.br/sites/default/files/Resolu%C3%A7%C3%A3o%20219%202019.pdf;RESOLUÇÃO 219 DE 04 DE ABRIL DE 2019
ceepa-resolucao-2;http://www.cee.pa.gov.br/?q=node/108;resolucao;75/2019;24 de JANEIRO de 2019;;;;Aprova o calendário escolar 2019 para da Rede Estadual de Ensino da Secretaria de Estado de Educação do Pará.;;http://www.cee.pa.gov.br/sites/default/files/Resolu%C3%A7%C3%A3o%2075%202019.pdf;RESOLUÇÃO 75 DE 24 DE JANEIRO DE 2019
ceepa-resolucao-3;http://www.cee.pa.gov.br/?q=node/108;resolucao;73/2019;17 de JANEIRO de 2019;;;;Validação de estudos dos educandos de 6º ao 9º do Ensino Fundamental e 1ª a 3ª série do Ensino Médio, relativamente ao ano letivo de 2018, em caso de ausência de integralização de disciplinas não ofertadas pela Rede Estadual de Ensino, assim como disciplinas situações referentes à dependências de estudo.;;https://drive.google.com/file/d/1_RvNcqeh_ehrsl8lGq5AYC77KW912gY3/view?usp=sharing;RESOLUÇÃO 73 DE 17 DE JANEIRO DE 2019
ceepa-resolucao-4;http://www.cee.pa.gov.br/?q=node/108;resolucao;769/2018;20 de DEZEMBRO de 2018;;;;Aprova o DOCUMENTO CURRICULAR PARA EDUCAÇÃO INFANTIL E ENSINO FUNDAMENTAL DO ESTADO DO PARÁ no Sistema Estadual de Ensino do Pará.;;http://www.cee.pa.gov.br/sites/default/files/doc14438020181220141136-merged.pdf;RESOLUÇÃO 769 DE 20 DE DEZEMBRO DE 2018
ceepa-resolucao-5;http://www.cee.pa.gov.br/?q=node/108;resolucao;714/2018;14 de NOVEMBRO de 2018;;;;Concede a regularização da vida acadêmica de alunos egressosde cursos, das instituições de Ensino Superior do Sistema Estadual de Educação do Estado do Pará, que ainda não foram reconhecidos e/ou com a renovação em curso neste órgão, à luz do que perconiza o Sistema Federal de Ensino.;;http://www.cee.pa.gov.br/sites/default/files/Res%20714%202018.pdf;RESOLUÇÃO 714 DE 14 DE NOVEMBRO DE 2018
ceepa-resolucao-6;http://www.cee.pa.gov.br/?q=node/108;resolucao;609/2018;13 de SETEMBRO de 2018;;;;Estabelece normas para aplicação do artigo 41 da Lei nº 9.394/96 (LDBEN), instituindo a regulamentação do credenciamento institucional e a oferta de programas de certificação de competências profissionais no âmbito do Sistema Estadual de Educação do Pará.;;http://www.cee.pa.gov.br/sites/default/files/Novo%20Documento%202018-09-21%2009.40.38_0.pdf;RESOLUÇÃO 609 DE 13 DE SETEMBRO DE 2018
ceepa-resolucao-7;http://www.cee.pa.gov.br/?q=node/108;resolucao;304/2017;25 de MAIO de 2017;;;;EDUCAÇÃO ESPECIAL  -Altera a Resolução 001/2010,que dispõe sobre a regulamentação e a consolidação das normas estaduais e nacionais aplicáveis à Educação Básica n Sistema Estadual de Ensino do Pará,relativamente aos Capítulos VIIIe XIV - Seção II, que tratam da Educação Especial e dá outras providências.;;http://www.cee.pa.gov.br/sites/default/files/resolu%C3%A7%C3%A3o%203042017-CEE_1.pdf;RESOLUÇÃO 304 DE 25 DE MAIO DE 2017
ceepa-resolucao-8;http://www.cee.pa.gov.br/?q=node/108;resolucao;202/2017;25 de ABRIL de 2017 ;;;;Autoriza a implatação do Sistema Educacional Interativo-SEI nos termos,limites e condições constantes da análise do parecer nº 205/2017-CEE-PA, na Rede Estadual de Ensino do Estado do Pará.;;http://www.cee.pa.gov.br/sites/default/files/doc10028920171030211720.pdf;RESOLUÇÃO 202 DE 25 DE ABRIL DE 2017 
ceepa-resolucao-9;http://www.cee.pa.gov.br/?q=node/108;resolucao;201/2017;25 de MAIO de 2017 ;;;;Aprova como patamar mínimo, a relação de 12 alunos por professor para a oferta educacional mantida em regime regular ou na modalidade de Educação de Jovens e Adultos, quando for o caso, relativa à Pré-escola, anos iniciais do Ensino Fundamental, anos finais do Ensino Fundamental e Ensino Médio, nas modaliudades de educação no campo, quilombola e indígena, no Sistema Estadual de Ensino do Pará e dá outras  providências.;;http://www.cee.pa.gov.br/sites/default/files/Resolu%C3%A7%C3%A3o%20201%2025%20de%20maio%202017_0.pdf;RESOLUÇÃO 201 DE 25 DE MAIO DE 2017 
ceepa-resolucao-10;http://www.cee.pa.gov.br/?q=node/108;resolucao;142/2017;09 de MARÇO de 2017;;;;Autoriza a validação escolar e a continuidade de estudos dos alunos do 6º ao 9º ano do Ensino Fundamental e dos 1º e 2º anos do Ensino Médio e ainda do 3º ano do Ensino Médio, não beneficiados pelo disposto na Resolução nº 34/2017-CEE-PA, nos casos de ausência de integralização de disciplinas não ofertadas pela Rede estadual de Ensino e dá outras providências.;;http://www.cee.pa.gov.br/sites/default/files/Resolu%C3%A7%C3%A3o%20142_0.pdf;RESOLUÇÃO 142 DE 09 DE MARÇO DE 2017
ceepa-resolucao-11;http://www.cee.pa.gov.br/?q=node/108;resolucao;095/2017;24 de FEVEREIRO de 2017;;;;Aprova à celebração do Regime de Colaboração com os Municípios que venham a requerer delegação de competência para que os Conselhos Municipais promovam os atos regulatórios relativos aos estabelecimentos mantidos pela iniciativa privada que contemplem a oferta da educação infantil e os demais níveis de educação básica(fundamental e médio) e dá ourtas providências.;;http://www.cee.pa.gov.br/sites/default/files/Resolu%C3%A7%C3%A3o%20095%202017.pdf;RESOLUÇÃO 095 DE 24 DE FEVEREIRO DE 2017
