Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceepe-Pareceres-1;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;001/2019-CES;28/01/2019;;;;APROVADO PELO PLENÁRIO EM 28/01/2019 - PROCESSO Nº 041/2017INTERESSADA: AUTARQUIA EDUCACIONAL DO ARARIPE (AEDA)/ FACULDADE DE FORMAÇÃO DE PROFESSORES DE ARARIPINA(FAFOPA)ASSUNTO: RENOVAÇÃO E RECONHECIMENTO DO CURSO DE LICENCIATURA EM GEOGRAFIA RELATORA: CONSELHEIRA MARIA DO SOCORRO RODRIGUES DOS SANTOS;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-N%C2%BA-001.2019-CES.pdf;PARECER CEE/PE Nº 001/2019-CES
ceepe-Pareceres-2;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;002/2019-CES;28/01/2019;;;;APROVADO PELO PLENÁRIO EM 28/01/2019 - PROCESSO Nº 156/2018 INTERESSADA: AUTARQUIA DE ENSINO SUPERIOR DE ARCOVERDE (AESA) / ESCOLA SUPERIOR DE SAÚDE DE ARCOVERDE (ESSA)ASSUNTO: ALTERAÇÃO DO PROJETO DOS CURSOS DE BACHARELADO EM FARMÁCIA E EM FISIOTERAPIA RELATORA: CONSELHEIRA MARIA IÊDA NOGUEIRA;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-002.2019-CES.pdf;PARECER CEE/PE Nº 002/2019-CES
ceepe-Pareceres-3;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;003/2019-CES;28/01/2019;;;;APROVADO PELO PLENÁRIO EM 28/01/2019 - PROCESSO Nº 150, 151 e 152/2018 INTERESSADA: AUTARQUIA DE ENSINO SUPERIOR DE LIMOEIRO (AESL) / FACULDADE DE CIÊNCIAS APLICADAS DO LIMOEIRO (FACAL) ASSUNTO: AMPLIAÇÃO DA OFERTA DOS CURSOS DE LICENCIATURA EM FÍSICA, MATEMÁTICA E PEDAGOGIA, ATRAVÉS DE SEGUNDA LICENCIATURA RELATORA: CONSELHEIRA MARIA IÊDA NOGUEIRA;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-003.2019-CES.pdf;PARECER CEE/PE Nº 003/2019-CES
ceepe-Pareceres-4;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;004/2019-CEB;28/01/2019;;;;APROVADO PELO PLENÁRIO EM 28/01/2019 - PROCESSO Nº 017/2018 INTERESSADA: RCF CURSOS TÉCNICOS LTDA / CENTRO DE ENSINO TÉCNICO GRAU T – RECIFE /PE ASSUNTO: AUTORIZAÇÃO DO CURSO TÉCNICO EM FARMÁCIA – EIXO TECNOLÓGICO: AMBIENTE E SAÚDE, NÍVEL MÉDIO NA MODALIDADE PRESENCIAL RELATORA: EDIONE PIRES CABRAL;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-004.2019-CEB.pdf;PARECER CEE/PE Nº 004/2019-CEB
ceepe-Pareceres-5;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;005/2019-CEB;28/01/2019;;;;"APROVADO PELO PLENÁRIO EM 28/01/2019 - PROCESSO Nº 044/2018 INTERESSADA: LUIZ G. MORADILLO PINHEIRO EIRELI / FESN SALGUEIRO SALGUEIRO/PE ASSUNTO: CREDENCIAMENTO DA INSTITUIÇÃO PARA A OFERTA DE EDUCAÇÃO PROFISSIONAL TÉCNICA DE NÍVEL MÉDIO NA MODALIDADE PRESENCIAL E AUTORIZAÇÃO DOS CURSOS: TÉCNICO EM SEGURANÇA DO TRABALHO, EIXO TECNOLÓGICO SEGURANÇA; TÉCNICO EM ENFERMAGEM E TÉCNICO EM RADIOLOGIA – AMBOS DO EIXO TECNOLÓGICO AMBIENTE E SAÚDE, TODOS NA MODALIDADE PRESENCIAL. RELATORA: CONSELHEIRA EDIONE PIRES CABRAL";;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-005.2019-CEB.pdf;PARECER CEE/PE Nº 005/2019-CEB
ceepe-Pareceres-6;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;006/2019-CEB;11/02/2019;;;;APROVADO PELO PLENÁRIO EM 11/02/2019 - PROCESSO Nº 112/2018 INTERESSADA: IMBIRIBEIRA CURSOS TÉCNICOS EIRELI / CENTRO DE ENSINO TÉCNICO GRAU T – UNIDADE IMBIRIBEIRA / RECIFE-PE ASSUNTO: AUTORIZAÇÃO DO CURSO TÉCNICO EM RECURSOS HUMANOS  EIXO TECNOLÓGICO: GESTÃO E NEGÓCIOS, NA MODALIDADE PRESENCIAL RELATORA: CONSELHEIRA EDIONE PIRES CABRAL;;http://www.cee.pe.gov.br/wp-content/uploads/2019/04/PARECER-CEE.PE-Nº-006.2019-CEB.pdf;PARECER CEE/PE Nº 006/2019-CEB
ceepe-Pareceres-7;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;007/2019-CEB;11/02/2019;;;;APROVADO PELO PLENÁRIO EM 11/02/2019 - PROCESSO Nº 161/2017 INTERESSADA: ATITUDE – ESCOLA TÉCNICA PROFISSIONALIZANTE LTDA / ATITUDE NÚCLEO DE FORMAÇÃO PROFISSIONAL / RECIFE/PE ASSUNTO: RENOVAÇÃO DE AUTORIZAÇÃO DO CURSO TÉCNICO EM ENFERMAGEM, EIXO TECNOLÓGICO: AMBIENTE E SAÚDE, NA MODALIDADE PRESENCIAL RELATORA: GISELLY MUNIZ LEMOS DE MORAIS;;http://www.cee.pe.gov.br/wp-content/uploads/2019/04/PARECER-CEE.PE-Nº-007.2019-CEB.pdf;PARECER CEE/PE Nº 007/2019-CEB
ceepe-Pareceres-8;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;008/2019-CES;18/02/2019;;;;APROVADO PELO PLENÁRIO EM 18/02/2019 - PROCESSO Nº 159/2018 e Nº 225/2018 INTERESSADA: AUTARQUIA EDUCACIONAL DO ARARIPE (AEDA) FACULDADE DE CIÊNCIAS HUMANAS E SOCIAIS DE ARARIPINA (FACISA) ASSUNTO: AUTORIZAÇÂO DE OFERTA DE CURSO DE PÓS-GRADUAÇÂO LATO SENSU EM NÍVEL DE ESPECIALIZAÇÃO EM CONTROLADORIA E FINANÇAS.RELATORA: CONSELHEIRA MARIA IÊDA NOGUEIRA;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-008.2019-CES.pdf;PARECER CEE/PE Nº 008/2019-CES
ceepe-Pareceres-9;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;009/2019-CEB;18/02/2019;;;;APROVADO PELO PLENÁRIO EM 18/02/2019 - PROCESSO Nº 218/ 2018 INTERESSADA: CENTRO DE EDUCAÇÃO E APERFEIÇOAMENTO PROFISSIONAL LTDA / CENTRO DE EDUCAÇÃO E APERFEIÇOAMENTO PROFISSIONAL – CETA /  SALGUEIRO/PE. ASSUNTO: ALTERAÇÃO DE PLANO DE CURSO TÉCNICO EM ENFERMAGEM E DE PLANO DE CURSO TÉCNICO EM RADIOLOGIA, EIXO TECNOLÓGICO: AMBIENTE E SAÚDE,  NA MODALIDADE PRESENCIAL. RELATORA: CONSELHEIRA EDIVANIA ARCANJO DO NASCIMENTO BARROS;;http://www.cee.pe.gov.br/wp-content/uploads/2019/03/PARECER-CEE.PE-Nº-009.2019-CEB-1.pdf;PARECER CEE/PE Nº 009/2019-CEB
ceepe-Pareceres-10;http://www.cee.pe.gov.br/?page_id=7050;Pareceres;0010/2019-CES;18/02/2019;;;;PARECER CEE/PE Nº 0010/2019-CES – APROVADO PELO PLENÁRIO EM 18/02/2019 - PROCESSO Nº 130/2018INTERESSADA: AUTARQUIA EDUCACIONAL DE SERRA TALHADA (AESET)/ FACULDADE DE FORMAÇÃO DE PROFESSORES DE SERRA TALHADA (FAFOPST)ASSUNTO: RENOVAÇÃO DO RECONHECIMENTO DO CURSO DE LICENCIATURA EM LETRAS COM HABILITAÇÃO EM LÍNGUA PORTUGUESA E LÍNGUA INGLESA COM ALTERAÇÃO DA MATRIZ CURRICULAR. RELATORA: CONSELHEIRA SHIRLEY CRISTINA LACERDA MALTA;;http://www.cee.pe.gov.br/wp-content/uploads/2019/05/PARECER-CEE.PE-Nº-010.2019-CES.pdf;PARECER CEE/PE Nº 0010/2019-CES
