Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceepr-2019-PAR-1;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=707;PAR;01/19;16/05/2019;;;;Parecer Normativo CEE/CP nº. 01/19,  aprovado em 16/05/2019 -  - Interpretação e complementos às disposições da Deliberação n.º 02/2018 – CEE/PR e Indicação n.º 02/18, que a acompanha.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2019/CP/pa_cp_normativo_01_19.pdf;Parecer Normativo CEE/CP nº. 01/19,  aprovado em 16/05/2019
ceepr-2018-PAR-2;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;01/18;20/04/18;;;;Parecer CEE/CP nº. 01/18, aprovado em 20/04/18 -  - Recurso Administrativo Regimental em face do Parecer CEE/CEIF nº.387/17de 19/10/17, que indeferiu o pedido de renovação da autorização para o funcionamento da Educação Infantil, com turno de 24 horas, no Centro Municipal de Educação Infantil Rosália Motter.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_01_18.pdf;Parecer CEE/CP nº. 01/18, aprovado em 20/04/18
ceepr-2018-PAR-3;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;02/18;15/06/18;;;;Parecer CEE/CP nº. 02/18, aprovado em 15/06/18 -  - Delegação de atribuições à Secretaria de Estado da Educação do Paraná – artigo 91, da Deliberação nº. 03/13 – CEE/PR.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_02_18.pdf;Parecer CEE/CP nº. 02/18, aprovado em 15/06/18
ceepr-2018-PAR-4;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;02/18;19/10/18;;;;Parecer CEE/CP Nº 03/18, aprovado em 19/10/18 - , Consulta sobre a possibilidade de oferta de curso de graduação para a formação de Educador Indígena na Terra Indígena Rio das Cobras, município de Nova Laranjeiras.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_03_18.pdf;Parecer CEE/CP Nº 03/18, aprovado em 19/10/18
ceepr-2018-PAR-5;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;02/18;06/11/18;;;;PARECER CEE/CP Nº 04/18, APROVADO EM 06/11/18 - , Apreciação de Relatório encaminhado pela Seed em atendimento ao Parecer CEE/PR nº 02/18, de 14/06/18.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_04_18.pdf;PARECER CEE/CP Nº 04/18, APROVADO EM 06/11/18
ceepr-2018-PAR-6;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;01/18;14/09/2018;;;;Parecer Normativo CEE/CP nº. 01/18,  aprovado em 14/09/2018 - Ratificação das normas gerais exaradas pelo CEE/PR para a oferta de educação do campo e normas complementares para a cessação de escolas do campo.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_normativo_01_18.pdf;Parecer Normativo CEE/CP nº. 01/18,  aprovado em 14/09/2018
ceepr-2018-PAR-7;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=641;PAR;02/18;28/09/2018;;;;Parecer Normativo CEE/CP nº. 02/18,  aprovado em 28/09/2018 - -  Orientação às instituições de ensino do Sistema Estadual de Ensino do Paraná para o cumprimento do Parecer CNE/CEB nº. 2/2018.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2018/CP/pa_cp_normativo_02_18.pdf;Parecer Normativo CEE/CP nº. 02/18,  aprovado em 28/09/2018
ceepr-2017-PAR-8;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;01/17;17/02/17;;;;Cessação Definitiva da Escola Rural Municipal João Café Filho  – Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_01_17.pdf;Parecer CEE/CP nº. 01/17,  aprovado em 17/02/2017
ceepr-2017-PAR-10;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;02/17;17/03/2017;;;;Parecer CEE/CP nº. 02/17, aprovado em 17/03/2017 - - Recurso Administrativo Regimental em face do Parecer CEE/CEMEP  nº.. 601/16, de 14/06/16, que indeferiu o credenciamento do Centro de Educação Básica para Jovens e Adultos Imediato – Ensino Médio   para   oferta  da Educação Básica e autorização para  funcionamento  do   Ensino Médio, presencial, na modalidade de Educação de Jovens e  Adultos.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_02_17.pdf;Parecer CEE/CP nº. 02/17, aprovado em 17/03/2017
ceepr-2017-PAR-11;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;03/17;15/05/2017;;;;Parecer CEE/CP nº. 03/17, aprovado em 15/05/2017 - - Cessação definitiva da Escola Estadual Indígena Tapé Avirú – Educação Infantil e Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_03_17.pdf;Parecer CEE/CP nº. 03/17, aprovado em 15/05/2017
ceepr-2017-PAR-12;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;04/17;19/05/2017;;;;Parecer CEE/CP nº. 04/17, aprovado em 19/05/2017 - - Delegação de atribuições à Secretaria de Estado da Educação do Paraná – artigo 91 da Deliberação nº.. 03/13-CEE/PR. ;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_04_17.pdf;Parecer CEE/CP nº. 04/17, aprovado em 19/05/2017
ceepr-2017-PAR-13;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;05/17;09/06/2017;;;;Parecer CEE/CP nº. 05/17, aprovado em 09/06/2017 - - Cessação definitiva da Escola Rural Municipal Paiquerê – Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_05_17.pdf;Parecer CEE/CP nº. 05/17, aprovado em 09/06/2017
ceepr-2017-PAR-14;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;06/17;17/07/2017;;;;Parecer CEE/CP nº. 06/17, aprovado em 17/07/2017- -  Cessação definitiva da Escola Rural Municipal - Getúlio Vargas – Educação Infantil e Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_06_17.pdf;Parecer CEE/CP nº. 06/17, aprovado em 17/07/2017-
ceepr-2017-PAR-15;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;07/17;17/07/2017;;;;Parecer CEE/CP nº. 07/17, aprovado em 17/07/2017 - - Recurso Administrativo Regimental em face do Parecer CEE/CEMEP nº.. 601/16, de 14/06/16, que indeferiu o credenciamento do Centro de Educação Básica para Jovens e Adultos Imediato – Ensino Médio para a oferta da Educação Básica e a autorização para funcionamento do Ensino Médio, presencial na modalidade de Educação de Jovens e Adultos.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_07_17.pdf;Parecer CEE/CP nº. 07/17, aprovado em 17/07/2017
ceepr-2017-PAR-16;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;08/17;17/07/2017;;;;Parecer CEE/CP nº.  08/17, aprovado em 17/07/2017 - - Consulta sobre o recreio interativo para fins de elaboração do calendário escolar no ano letivo de 2017.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_08_17.pdf;Parecer CEE/CP nº.  08/17, aprovado em 17/07/2017
ceepr-2017-PAR-17;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;09 /17;21/09/2017;;;;Parecer CEE/CP nº. 09 /17, aprovado em 21/09/2017 - I- Implementação dos Arranjos de Desenvolvimento da Educação entre Estado e Municípios.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_09_17.pdf;Parecer CEE/CP nº. 09 /17, aprovado em 21/09/2017
ceepr-2017-PAR-18;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;10/17;21/09/2017;;;;Parecer CEE/CP nº. 10/17, aprovado em  21/09/2017 -  Informação PGE acordão ACP 402/2007 – corte etário no Ensino Fundamental de nove anos de duração.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_10_17.pdf;Parecer CEE/CP nº. 10/17, aprovado em  21/09/2017
ceepr-2017-PAR-19;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;11 /17;20/10/2017;;;;Parecer CEE/CP nº. 11 /17, aprovado em 20/10/2017 - - Atendimento ao Parecer CEE/PR nº.. 04/17 sobre a delegação de  atribuições à Secretaria de Estado da Educação do Paraná - artigo 91  da Deliberação N° 03/13 – CEE/PR.     ;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_11_17.pdf;Parecer CEE/CP nº. 11 /17, aprovado em 20/10/2017
ceepr-2017-PAR-20;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;12 /17;10/11/2017;;;;Parecer CEE/CP nº. 12 /17, aprovado em 10/11/2017 - - Consulta para inserção das disciplinas de Geografia e Sociologia na Deliberação nº.. 01/06 CEE/PR, que estabelece normas para o Ensino  Religioso no Sistema Estadual de Ensino do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_12_17.pdf;Parecer CEE/CP nº. 12 /17, aprovado em 10/11/2017
ceepr-2017-PAR-21;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;13/17;10/11/2017;;;;Parecer CEE/CP nº. 13/17, aprovado em 10/11/2017 - - Consulta sobre abono de faltas dos alunos impedidos de comparecer  às aulas por falta de condições de acesso à escola.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_13_17.pdf;Parecer CEE/CP nº. 13/17, aprovado em 10/11/2017
ceepr-2017-PAR-22;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=573;PAR;14/17;10/11/2017;;;;Parecer CEE/CP nº. 14/17, aprovado em 10/11/2017 - - Revogação da Deliberação nº.. 031/86- CEE/PR, que trata de incineração e prazos para emissão de documentos escolares.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2017/CP/pa_cp_14_17.pdf;Parecer CEE/CP nº. 14/17, aprovado em 10/11/2017
ceepr-2016-PAR-23;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;01/16;17/02/16;;;;Parecer CEE/CP nº. 01/16, aprovado em 17/02/16 -  - Consulta sobre a conclusão do calendário escolar de 2015 em instituições de ensino do município de Ipiranga – Pr.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_01_16.pdf;Parecer CEE/CP nº. 01/16, aprovado em 17/02/16
ceepr-2016-PAR-24;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;02/16;17/06/16;;;;Parecer CEE/CP nº. 02/16, aprovado em 17/06/16 -  - Delegação de atribuições de regulação à Secretaria de Estado da Educação – artigo 91 da Deliberação n° 03/2013-CEE/PR.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_02_16.pdf;Parecer CEE/CP nº. 02/16, aprovado em 17/06/16
ceepr-2016-PAR-25;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;03/16;20/10/16;;;;Parecer CEE/CP nº. 03/16, aprovado em 20/10/16 -  - Inclusão do nome social nos registros escolares internos do aluno.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_03_16.pdf;Parecer CEE/CP nº. 03/16, aprovado em 20/10/16
ceepr-2016-PAR-26;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;04/16;05/12/2016;;;;Parecer CEE/CP nº. 04/16, aprovado em 05/12/2016 -  - Cessação Definitiva da Escola Rural Municipal Nossa Senhora de Fátima – Educação Infantil Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_04_16.pdf;Parecer CEE/CP nº. 04/16, aprovado em 05/12/2016
ceepr-2016-PAR-27;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;05/16;05/12/2016;;;;Parecer CEE/CP nº. 05/16, aprovado em 05/12/2016 -  - Recurso Administrativo Regimental em face do Parecer CEE/CEIF/CEMEP n° 13/14, de 09/10/14.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_05_16.pdf;Parecer CEE/CP nº. 05/16, aprovado em 05/12/2016
ceepr-2016-PAR-28;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;06/16;09/12/2016;;;;Parecer CEE/CP nº. 06/16, aprovado em 09/12/2016 -  - Pedido de prorrogação do prazo concedido pelo Parecer CEE/CP n° 16/15, de 16/11/15, que prorrogou o prazo de credenciamento das  instituições de ensino da rede pública estadual e credenciou outras instituições públicas, que possuem o Ensino Fundamental e ou Ensino Médio devidamente reconhecidos, para expedir os documentos escolares dos alunos concluintes nas mesmas etapas, no ano letivo de 2015, na referida rede, cujos cursos ainda não foram reconhecidos, para o ano de 2016.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_06_16.pdf;Parecer CEE/CP nº. 06/16, aprovado em 09/12/2016
ceepr-2016-PAR-29;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=517;PAR;07/16;09/12/2016;;;;Parecer CEE/CP nº. 07/16, aprovado em 09/12/2016 -  - Cessação Definitiva da Escola Estadual do Campo Benjamin Constant – Ensino Fundamental.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2016/CP/pa_cp_07_16.pdf;Parecer CEE/CP nº. 07/16, aprovado em 09/12/2016
ceepr-2015-PAR-30;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;01/15;26/03/15;;;;Parecer CEE/CP nº. 01/15,  aprovado em 26/03/15 - -  Apresentação do relatório da Comissão provisória designada  pela Portaria  11/2014, com orientações para Políticas Públicas de atenção à pessoa Idosa. ;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_01_15.pdf;Parecer CEE/CP nº. 01/15,  aprovado em 26/03/15
ceepr-2015-PAR-31;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;02/15;26/03/15;;;;Parecer CEE/CP nº. 02/15,  aprovado em 26/03/15 -  -  Pedido de reconsideração do Parecer CEE/CEIF/CEMEP nº. 02/14, de  19/03/14.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_02_15.pdf;Parecer CEE/CP nº. 02/15,  aprovado em 26/03/15
ceepr-2015-PAR-32;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;03/15;13/04/15;;;;Parecer CEE/CP nº. 03/15,  aprovado em 13/04/15 - - Delegação de atribuições à Secretaria de Estado da Educação do Paraná – artigo 91 da Deliberação nº. 03/13-CEE/PR.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_03_15.pdf;Parecer CEE/CP nº. 03/15,  aprovado em 13/04/15
ceepr-2015-PAR-33;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;04/15;13/04/15;;;;Parecer CEE/CP nº. 04/15,  aprovado em 13/04/15 -  - Plano Estadual de Educação em Direitos Humanos, Indicação e  Deliberação.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_04_15.pdf;Parecer CEE/CP nº. 04/15,  aprovado em 13/04/15
ceepr-2015-PAR-34;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;05/15;17/04/15;;;;Parecer CEE/CP nº. 05/15, aprovado em 17/04/15 - - Convalidação de atos de credenciamento de instituições para expedição de documentação escolar.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_05_15.pdf;Parecer CEE/CP nº. 05/15, aprovado em 17/04/15
ceepr-2015-PAR-35;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;06/15;22/05/15;;;;Parecer CEE/CP nº. 06/15,  aprovado em 22/05/15 - - Relatório da Comissão de Sindicância do Centro de Educação Profissional Tui-ná System Massage.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_06_15.pdf;Parecer CEE/CP nº. 06/15,  aprovado em 22/05/15
ceepr-2015-PAR-36;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;07/15;22/05/15;;;;Parecer CEE/CP nº. 07/15,  aprovado em 22/05/15 - - Atendimento ao contido no voto do Parecer CEE/CP nº. 06/13, de 13/12/13.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_07_15.pdf;Parecer CEE/CP nº. 07/15,  aprovado em 22/05/15
ceepr-2015-PAR-37;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=458;PAR;08/15;24/06/15;;;;Parecer CEE/CP nº. 08/15,  aprovado em 24/06/15 -  - Calendário de reposição de aulas referentes ao período de paralisação das atividades escolares. ;;http://www.cee.pr.gov.br/arquivos/File/pdf/Pareceres_2015/CP/pa_cp_08_15.pdf;Parecer CEE/CP nº. 08/15,  aprovado em 24/06/15
