"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceepr-DEL-1";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 13/86";"05 de setembro de 1986";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/1986/Del_13_86.pdf";"Deliberação n.º 13/86, aprovada em 05 de setembro de 1986"
"ceepr-DEL-2";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 20/86";"21 de novembro de 1986";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/1986/Del_20_86.pdf";"Deliberação n.º 20/86, aprovada em 21 de novembro de 1986"
"ceepr-DEL-3";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 31/86";"5 de dezembro  de 1986";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/1986/Del_31_86.pdf";"Deliberação n.º 31/86, aprovada em 5 de dezembro  de 1986"
"ceepr-DEL-4";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"  01/2005 ";"14/02/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/73d513e7d3134a8c03256fc700505ede/$FILE/_g8himoqb2clp631u6dsg30c9d68o30d8_.pdf";"Deliberação nº  01/2005 - Aprovada em 14/02/2005"
"ceepr-DEL-5";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"  02/2005 ";"06/06/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/cbc5269bb92e77c70325701b006b19ca/$FILE/_88himoqb2clp631u6dsg30chd68o30d8_.pdf";"Deliberação nº  02/2005 - Aprovada em 06/06/2005"
"ceepr-DEL-6";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 03/2005 ";"07/10/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/d6def4d216ffd0fe0325709f006bc1b7/$FILE/_08himoqb2clp631u6dsg30cpd68o30d8_.pdf";"Deliberação nº 03/2005 - Aprovada em 07/10/2005"
"ceepr-DEL-7";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"  04/2005 ";"07/10/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/31831a2dca83653a8325710f004f9632/$FILE/_p8himoqb2clp631u6dsg30d1d68o30d8_.pdf";"Deliberação nº  04/2005 - Aprovada em 07/10/2005"
"ceepr-DEL-8";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"   05/2005 ";"09/11/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/ad00d482b904c8da832570c8006ba4d5/$FILE/_h8himoqb2clp631u6dsg30d9d68o30d8_.pdf";"Deliberação nº   05/2005 - Aprovada em 09/11/2005"
"ceepr-DEL-9";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"    06/2005  ";"11/11/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/1f51f94180951baf832570c8006b4465/$FILE/Del%2006-05.pdf";"Deliberação nº    06/2005  - Aprovada em 11/11/2005"
"ceepr-DEL-10";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";"  07/2005 ";"09/12/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/189c43e3e0922d8183257116005cee95/$FILE/_18himoqb2clp631u6dsg30dpd68o30d8_.pdf";"Deliberação nº  07/2005 - Aprovada em 09/12/2005"
"ceepr-DEL-11";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 08/2005  ";"09/12/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/f4709aee4895cc36832570e0005f2557/$FILE/_q8himoqb2clp631u6dsg30e1d68o30d8_.pdf";"Deliberação nº 08/2005  - Aprovada em 09/12/2005"
"ceepr-DEL-12";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 09/2005 ";"12/12/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/d8c5c29b7b0d6b1d832570e0005f6833/$FILE/_i8himoqb2clp631u6dsg30e9d68o30d8_.pdf";"Deliberação nº 09/2005 -  Aprovada em 12/12/2005"
"ceepr-DEL-13";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 10/2005 ";"14/12/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/fa665c19b2349421832570e0005fcb0e/$FILE/_q8himoqb2clp631u6dsg32c1d68o30d8_.pdf";"Deliberação nº 10/2005 - Aprovada em 14/12/2005"
"ceepr-DEL-14";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 11/2005 ";"14/12/2005";"";"";"";"";"";"http://celepar7cta.pr.gov.br/seed/deliberacoes.nsf/7b2a997ca37239c3032569ed005fb978/a7ff3b3c0ebf7798832570e0006014c1/$FILE/_i8himoqb2clp631u6dsg32c9d68o30d8_.pdf";"Deliberação nº 11/2005 - Aprovada em 14/12/2005"
"ceepr-DEL-15";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 11/2005";"";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2005/anexo_del_11_05.pdf";"Anexo da Deliberação nº 11/2005"
"ceepr-DEL-16";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 01/06";"10 de fevereiro de 2006";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2006/deliberacao_01_06.pdf";"Deliberação n.º 01/06, aprovada em 10 de fevereiro de 2006"
"ceepr-DEL-17";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 02/06";"12 de  maio de 2006";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2006/deliberacao_02_06.pdf";"Deliberação n.º 02/06, aprovada em  12 de  maio de 2006"
"ceepr-DEL-18";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 03/06";"9 de junho  de 2006";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2006/Deliberacao_03_06.pdf";"Deliberação n.º 03/06, aprovada em 9 de junho  de 2006"
"ceepr-DEL-19";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 04/06";"2 de  agosto de 2006";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2006/deliberacao_04_06.pdf";"Deliberação n.º 04/06, aprovada em  2 de  agosto de 2006"
"ceepr-DEL-20";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=93";"DEL";" 05/06";"1º de  setembro de 2006";"";"";"";"";"";"http://www.cee.pr.gov.br/arquivos/File/pdf/Deliberacoes/2006/deliberacao_05_06.pdf";"Deliberação n.º 05/06, aprovada em 1º de  setembro de 2006"
