Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceepr- ead - Deliberação-1;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;11/99;;;;;Normas para credenciamento de instituições e autorização de cursos a distância de ensino fundamental para jovens e adultos, ensino médio  e educação profissional de nível técnico no Sistema Estadual de Ensino do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_011_99.pdf;Deliberação nº 11/99
ceepr- ead - Deliberação-2;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;02/01;;;;;Estabelece Normas para credenciamento de instituições e  autorização de cursos a distância de ensino fundamental para jovens e adultos, ensino médio e educação profissional de nível técnico no Sistema Estadual de Ensino do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_02_01.pdf;Deliberação nº 02/01
ceepr- ead - Deliberação-3;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;05/02;;;;;Dispõe sobre o funcionamento de cursos de educação a distância de Educação de Jovens e Adultos no Estado do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_05_02.pdf;Deliberação nº 05/02
ceepr- ead - Parecer-4;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Parecer;630/02;;;;;Fórum Nacional dos Conselhos Estaduais de Educação - Pacto acerca da Educação a Distância.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/PA_630_02.pdf;Parecer nº 630/02
ceepr- ead - Deliberação-5;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;05/03;;;;;Normas para credenciamento de instituições e autorização de cursos a distância do ensino fundamental para jovens e adultos, ensino médio e educação profissional de nível técnico no Sistema Estadual de Ensino do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_05_03.pdf;Deliberação nº 05/03
ceepr- ead - Deliberação-6;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;02/06;;;;;Alteração do art. 9º e revogação do art. 18 da Deliberação nº 05/03 - CEE/PR.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_02_06.pdf;Deliberação nº 02/06
ceepr- ead - Deliberação-7;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=36;Deliberação;01/07;;;;;Normas para credenciamento de instituições e autorização de cursos a distância, no Sistema Estadual de Ensino do Paraná.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EAD/Del_01_07.pdf;Deliberação nº 01/07
ceepr- ead - Deliberação-1;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=37;Deliberação;12/99;;;;;Normas para a Educação de Jovens e Adultos – Ensino Fundamental e Ensino Médio.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EJA/Del_012_99.pdf;Deliberação nº 12/99
ceepr- ead - Deliberação-2;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=37;Deliberação;15/99;;;;;Alteração dos Artigos 28 e 30 da Deliberação nº 012/99-CEE.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EJA/Del_015_99.pdf;Deliberação nº 15/99
ceepr- ead - Deliberação-3;http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=37;Deliberação;08/00;;;;;Estabelece Normas para a Educação de Jovens e Adultos - Ensino Fundamental e Médio.;;http://www.cee.pr.gov.br/arquivos/File/pdf/Del_CEE_EJA/Del_08_00.pdf;Deliberação nº 08/00
