"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceepr-Ementa-2006-1";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Fevereiro/2006";"";"";"";"Ementário - Fevereiro/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_fevereiro_06.pdf";"Ementário - Fevereiro/2006"
"ceepr-Ementa-2006-2";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Março/2006";"";"";"";"Ementário - Março/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_marco_06.pdf";"Ementário - Março/2006"
"ceepr-Ementa-2006-3";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Abril/2006";"";"";"";"Ementário - Abril/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_abril_06.pdf";"Ementário - Abril/2006"
"ceepr-Ementa-2006-4";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Maio/2006";"";"";"";"Ementário - Maio/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_maio_06.pdf";"Ementário - Maio/2006"
"ceepr-Ementa-2006-5";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Junho/2006";"";"";"";"Ementário - Junho/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_junho_06.pdf";"Ementário - Junho/2006"
"ceepr-Ementa-2006-6";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Julho (Extra)/2006";"";"";"";"Ementário - Julho (Extra)/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_julho_extra_06.pdf";"Ementário - Julho (Extra)/2006"
"ceepr-Ementa-2006-7";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Agosto/2006";"";"";"";"Ementário - Agosto/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_agosto_06.pdf";"Ementário - Agosto/2006"
"ceepr-Ementa-2006-8";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Setembro/2006";"";"";"";"Ementário - Setembro/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_setembro_06.pdf";"Ementário - Setembro/2006"
"ceepr-Ementa-2006-9";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Outubro/2006";"";"";"";"Ementário - Outubro/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_outubro_06.pdf";"Ementário - Outubro/2006"
"ceepr-Ementa-2006-10";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Novembro/2006";"";"";"";"Ementário - Novembro/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_novembro_06.pdf";"Ementário - Novembro/2006"
"ceepr-Ementa-2006-11";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Dezembro/2006";"";"";"";"Ementário - Dezembro/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_dezembro_06.pdf";"Ementário - Dezembro/2006"
"ceepr-Ementa-2006-12";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Dezembro (Extra)/2006";"";"";"";"Ementário - Dezembro (Extra)/2006";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2006/ementario_dezembro_extra_06.pdf";"Ementário - Dezembro (Extra)/2006"
"ceepr-Ementa-2007-13";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Fevereiro/2007";"";"";"";"Ementário - Fevereiro/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_fevereiro_07.pdf";"Ementário - Fevereiro/2007"
"ceepr-Ementa-2007-14";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Março/2007";"";"";"";"Ementário - Março/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_marco_07.pdf";"Ementário - Março/2007"
"ceepr-Ementa-2007-15";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Março (Extra)/2007";"";"";"";"Ementário - Março (Extra)/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_marco_extra_07.pdf";"Ementário - Março (Extra)/2007"
"ceepr-Ementa-2007-16";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Abril/2007";"";"";"";"Ementário - Abril/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_abril_07.pdf";"Ementário - Abril/2007"
"ceepr-Ementa-2007-17";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Maio/2007";"";"";"";"Ementário - Maio/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_maio_07.pdf";"Ementário - Maio/2007"
"ceepr-Ementa-2007-18";"http://www.cee.pr.gov.br/modules/conteudo/conteudo.php?conteudo=81";"Ementa";"";"Junho/2007";"";"";"";"Ementário - Junho/2007";"Ementários";"http://www.cee.pr.gov.br/arquivos/File/pdf/Ementarios/2007/ementario_junho_07.pdf";"Ementário - Junho/2007"
