"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceerj-deliberacao-2";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"017";"1976";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1976_017.pdf";"Deliberação 017/1976"
"ceerj-deliberacao-3";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"013";"1976";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1976-013.pdf";"Deliberação 013/1976"
"ceerj-deliberacao-4";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"020";"1976";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1976-020.pdf";"Deliberação 020/1976"
"ceerj-deliberacao-5";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"024";"1977";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1977-024.pdf";"Deliberação 024/1977"
"ceerj-deliberacao-6";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"030";"1977";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1977-030.pdf";"Deliberação 030/1977"
"ceerj-deliberacao-7";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"076";"1980";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1980_076.pdf";"Deliberação 076/1980"
"ceerj-deliberacao-8";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"077";"1980";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1980-077.pdf";"Deliberação 077/1980"
"ceerj-deliberacao-9";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"122";"1985";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1985-122.pdf";"Deliberação 122/1985"
"ceerj-deliberacao-10";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"123";"1985";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1985-123.pdf";"Deliberação 123/1985"
"ceerj-deliberacao-11";"http://www.cee.rj.gov.br/deliberacoes.asp";"deliberacao";"124";"1985";"";"";"";"";"";"http://www.cee.rj.gov.br/deliberacoes/D_1985-124.pdf";"Deliberação 124/1985"
