"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceero-resolucao-1";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.244/19";"2019-12-31";"";"";"";"Retifica o ano da Resolução n. 1.237/18 - CEE/RO, de 22 de janeiro de 2019, conforme  especifica.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_n_1_244-19-CEE-RO_altera_EAD.pdf";"Res. n. 1.244/19  CEE/RO"
"ceero-resolucao-2";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.237/19";"2019-12-31";"";"";"";"Estabelece normas para a Regularização de instituições de Ensino que pretendem ofertar etapas e modalidades da Educação Básica, por meio da Educação a Distância, no Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_1_237-19_EAD_06_02_2019(1).pdf";"Res. n. 1.237/19  CEE/RO"
"ceero-resolucao-3";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.233/18";"2018-12-31";"";"";"";"Aprova o Referêncial Curricular do Estado de Rondônia, e dá outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1233_18-CE-RO_referencial_curricular_homologado.pdf";"Res. n. 1.233/18  CEE/RO"
"ceero-resolucao-4";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.236/18";"2018-12-31";"";"";"";"Fixar normas para o Reconhecimento de Equivalência de Estudos na Educação Básica e na Educação Profissional Técnica de Nível Médio, Realizados em Instituições de Ensino Estrangeiras e Revalidação de Diplomas e Certificados.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/NORMATIVAS SITE/RESOLUO_n_1236-18-CEE_RO_Equivalncia.pdf";"Res. n. 1.236/18  CEE/RO"
"ceero-resolucao-5";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.237/18";"2018-12-31";"";"";"";"Estabelece normas para a regularização de instituições de ensino que pretendem ofertar etapas e modalidades da Educação Básica, por meio da Educação a Distância, no Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_1_237-19_EAD_06_02_2019.pdf";"Res. n. 1.237/18  CEE/RO"
"ceero-resolucao-6";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.232/18";"2018-12-31";"";"";"";"Define Diretrizes Operacionais complementares para a matrícula inicial de crianças na Educação Infantil e no Ensino Fundamental, respectivamente, aos 4 (quatro) e aos 6 (seis) anos de idade, a partir do ano letivo de 2019, e da outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1232_18_idade_corte.pdf";"Res. n. 1.232/18  CEE/RO"
"ceero-resolucao-7";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.230/18";"2018-12-31";"";"";"";"Estabelece normas para o atendimento escolar de aluna gestante e lactante, matriculada em instituição do Sistema Estadual de Ensino.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_n_1_230-CEERO_Aluna_gestante_e_lactante.docx";"Res. n. 1.230/18  CEE/RO"
"ceero-resolucao-8";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.219/17";"2017-12-31";"";"";"";"Dispõe sobre a exigência de comprovação do cadastro no Censo Escolar, das instituições de ensino, públicas e privadas, do Sistema Estadual de Ensino de Rondônia, nos Projetos Organizados com base nas Resoluções n. 1206/16-CEE/RO e n. 1210/16-CEE/RO e, dá outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1219_17_Comprovao_Censo_Escolar.pdf";"Res. n. 1.219/17  CEE/RO"
"ceero-resolucao-9";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.218/17";"2017-12-31";"";"";"";"Altera o Regimento Interno do Conselho Estadual de Educação de Rondônia, nos termos desta Resolução.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1_218_17_Altera_Regimento_Interno.pdf";"Res. n. 1.218/17  CEE/RO"
"ceero-resolucao-10";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.216/17";"2017-12-31";"";"";"";"Retifica Termos da Resolução nº 1.210/16 - CEE/RO, que especifica.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_n_1216_17-CEE_RO.pdf";"Res. n. 1.216/17  CEE/RO"
"ceero-resolucao-11";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.215/17";"2017-12-31";"";"";"";"Retifica Termos da Resolução nº 1.206/16 - CEE/RO, que especifica.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_n_1215_17-CEE_RO.pdf";"Res. n. 1.215/17  CEE/RO"
"ceero-resolucao-12";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.214/17";"2017-12-31";"";"";"";"Estabelece normas para a regularização de Instituições, caracterizadas como Escolas de Governo, para a oferta exclusiva de cursos presenciais de Pós-Graduação lato sensu, em Nível de Especialização, pertencentes ao Sistema Estadual de Ensino.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_1214_2017_Regularizao_Escolas_de_Governo23042019.pdf";"Res. n. 1.214/17  CEE/RO"
"ceero-resolucao-13";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.210/16";"2016-12-31";"";"";"";"Estabelece normas para regularização de instituições de ensino que pretendem ofertar Educação Profissional Técnica de Nível Médio, no Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/images/pdf/res n 1210.pdf";"Res. n. 1.210/16 CEE/RO"
"ceero-resolucao-14";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.206/16";"2016-12-31";"";"";"";"Estabelece normas para a regularização de instituições de ensino que ofertam etapas e ou modalidades da Educação Básica, no Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/files/Resoluo_n_1_206-CEE-RO.pdf";"Res. n. 1.206/16 CEE/RO"
"ceero-resolucao-15";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.209/16";"2016-12-31";"";"";"";"Determina às instituições de ensino pertencentes ao Sistema Estadual de Ensino de Rondônia a inserir nos documentos escolares internos o nome social ao lado do nome civil dos travestis e transexuais, e dá outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1_209_16_-_Insero_nome_social.pdf";"Res. n. 1.209/16  CEE/RO"
"ceero-resolucao-16";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.210/16";"2016-12-31";"";"";"";"Estabelece normas para regularização de instituições de ensino que pretendem ofertar Educação Profissional Técnica de Nível Médio, no Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_1210_16-CEE-RO-Ed__Profissional_Tcnica.pdf";"Res. n. 1.210/16  CEE/RO"
"ceero-resolucao-17";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"1.212/16";"2016-12-31";"";"";"";"Altera a redação do inciso V, e da alínea i do inciso IX, do artigo 21, da Resolução n. 138/99-CEE/RO, e dá outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/Resoluo_n_1_212_2016-CEE_Altera_a_138_09.pdf";"Res. n. 1.212/16  CEE/RO"
"ceero-resolucao-18";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"827/10";"2010-12-31";"";"";"";"Regulamenta a oferta da educação de Jovens e Adultos, no Sistema Estadual de Ensino de Rondônia, e dá outras providências.";"";"http://www.seduc.ro.gov.br/cee/files/cleicey/RESOLUO_n_827_CEE-RO-2010_EJA.pdf";"Res. n. 827/10  CEE/RO"
"ceero-resolucao-19";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"958/11";"2011-12-31";"";"";"";"Fixa normas para a oferta da Educação Básica nas Escolas do Campo pertencentes ao Sistema Estadual de Ensino de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/images/pdf/res_958.pdf";"Res. n. 958/11  CEE/RO"
"ceero-resolucao-20";"http://www.seduc.ro.gov.br/cee/index.php/2012-08-09-15-26-07.html";"resolucao";"959/11";"2011-12-31";"";"";"";"Fixa diretrizes e normas complementares para o atendimento educacional, nas etapas e modalidades da Educação Básica aos jovens e adultos privados de liberdade, em estabelecimentos penais do sistema prisional do Estado de Rondônia.";"";"http://www.seduc.ro.gov.br/cee/images/pdf/res 959.pdf";"Res. n. 959/11  CEE/RO"
