"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"ceesc-resolução-1";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2018/018";"2018-12-31";"";"";"";"Dispõe sobre normas complementares para os procedimentos de apuração de irregularidades no funcionamento das instituições de educação vinculadas ao Sistema Estadual de Ensino do Estado de Santa Catarina, prevê aplicação de sanções, interposição de recurso e estabelece outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1537-resolucao-2018-018-cee-sc/file";"Resolução 2018/018/CEE/SC"
"ceesc-resolução-2";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2018/013";"2018-12-31";"";"";"";"Fixa normas para o funcionamento da Educação Superior, nas modalidades presencial e a distância, no Sistema Estadual de Ensino de Santa Catarina, e estabelece outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1557-resolucao-2018-013-cee-sc/file";"Resolução 2018/013/CEE/SC"
"ceesc-resolução-3";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2016/048";"2016-12-31";"";"";"";"Dispõe sobre a inclusão do nome social de travestis e transexuais nos registros escolares internos e dá outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1395-resolucao-2016-048-cee-sc/file";"Resolução 2016/048/CEE/SC"
"ceesc-resolução-4";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2015/001";"2015-12-31";"";"";"";"Revogada pela Resolução 013/2018Fixa normas para o funcionamento da Educação Superior no Sistema Estadual de Ensino de Santa Catarina e estabelece outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1197-resp001-sed-7492-2014/file";"Resolução 2015/001/CEE/SC"
"ceesc-resolução-5";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2014/257";"2014-12-31";"";"";"";"Revogada pela Resolução 018/2018Estabelece normas complementares sobre procedimentos de apuração de deficiências e irregularidades no funcionamento das instituições de educação, vinculadas ao Sistema Estadual de Ensino do Estado de Santa Catarina, e dispõe sobre a aplicação de sanções e outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1155-1155/file";"Resolução 2014/257/CEE/SC"
"ceesc-resolução-6";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2013/174";"2013-12-31";"";"";"";"Revogada pela Resolução 001/2015Estabelece providências e normas complementares à Resolução CEE/SC nº 100/2011 para o funcionamento da Educação Superior no Sistema Estadual de Ensino de Santa Catarina.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/969-969/file";"Resolução 2013/174/CEE/SC"
"ceesc-resolução-7";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2013/038";"2013-12-31";"";"";"";"Revogada pela Resolução 001/2015Acrescenta § 4º no artigo 50 da Resolução nº100/2011CEE/SC.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1138-1138/file";"Resolução 2013/038/CEE/SC"
"ceesc-resolução-8";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2012/019";"2012-12-31";"";"";"";"Dispõe sobre a aplicabilidade das normas federais de educação no sistema estadual de ensino de Santa Catarina.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1268-resp019-sed-00012604-2011-7/file";"Resolução 2012/019/CEE/SC"
"ceesc-resolução-9";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2011/100";"2011-12-31";"";"";"";"Revogada pela Resolução 001/2015Fixa normas para o funcionamento da Educação Superior no Sistema Estadual de Ensino de Santa Catarina e estabelece outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/977-977/file";"Resolução 2011/100/CEE/SC"
"ceesc-resolução-10";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/resolucoes-2";"resolução";"2010/15";"2010-12-31";"";"";"";"Revogada pela Resolução 048/2016 Altera o Artigo 5º da Resolução nº 132/2009, de 15 de dezembro de 2009, que dispõe sobre a inclusão do nome social de travestis e transexuais nos registros escolares internos e dá outras providências.";"educacao-superior;educacao-superior-resolucoes";"http://www.cee.sc.gov.br/index.php/legislacao-downloads/educacao-superior/educacao-superior-resolucoes/1406-resolucao-2010-15-cee-sc-1/file";"Resolução 2010/15/CEE/SC"
