Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
ceese-resolucao-1;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;5;2018-12-13;;;;Dispõe sobre a liberdade de expressão nos ambientes pedagógicos e de convivência social das instiuições educacionais do Sistema de Ensino do Estado de Sergipe, e dá providência correlatas.;;http://www.cee.se.gov.br/arquivos/Resolucao.Normativa.n.4.2018.Curriculo.de.Estado.pdf;RESOLUÇÃO NORMATIVA Nº 5, DE 13 DE DEZEMBRO DE 2018 (liberdade de expressão).
ceese-resolucao-2;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;4;2018-11-29;;;;Regulamenta a implementação do Currículo do Estado de Sergipe nas redes de ensino e nas instituições educacionais integrantes do Sistema de Ensino, e dá providências correlatas.;;http://www.cee.se.gov.br/arquivos/Resolucao.Normativa.n5.2018.pdf;RESOLUÇÃO NORMATIVA Nº 4, DE 29 DE NOVEMBRO DE 2018.
ceese-resolucao-3;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2018-09-13;;;;Prorroga, no ano de 2018, os prazos previstos nas Resoluções Normativas que tratam de pedidos protocolados neste CEE até o dia 31 de agosto.;;http://www.cee.se.gov.br/arquivos/Resolucao.n.3.2018.prorroga.prazo.pdf;RESOLUÇÃO Nº 3, DE 13 DE SETEMBRO DE 2018
ceese-resolucao-4;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2018-02-22;;;;Acrescenta dispositivos ao art. 35, da Resolução Normativa nº 5/2015/CEE, que estabelece diretrizes operacionais para elaboração do Projeto Político Pedagógico e seus instrumentos de execução das instituições de Educação Básica integrantes do Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/RESOLUÇÃO.NORMATIVA.Nº.2.2018.pdf;RESOLUÇÃO NORMATIVA Nº 2, DE 22 DE FEVEREIRO DE 2018.
ceese-resolucao-5;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2017-08-03;;;;"Estabelece prazo para as instituições sem ato emitido pelo CEE, detectadas em visita técnica na Campanha de Combate ao Funcionamento de Escolas Clandestinas e Irregulares, apresentarem pedido de
					credenciamento e de autorização para a oferta de nível de ensino neste CEE, bem como aquelas não identificadas.";;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_02_2017.pdf;RESOLUÇÃO NORMATIVA Nº 2 DE 3 DE AGOSTO DE 2017
ceese-resolucao-6;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;1;2017-06-08;;;;"Acrescenta e renumera parágrafo do art. 2º, e altera a alínea ""b"", do inciso I, do art. 5°, da Resolução Normativa nº 5/2016/CEE, que estabelece diretrizes para a
					excepcionalidade da prática da docência, em caráter temporário, nas instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe que ofertam a Educação Básica.";;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_01_2017.pdf;RESOLUÇÃO NORMATIVA Nº1 DE 8 DE JUNHO DE 2017
ceese-resolucao-7;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;7;2016-12-31;;;;Fixa normas para aproveitamento de estudos/regularização de vida escolar de estudantes matriculados nos níveis de ensino fundamental e médio e suas modalidades em instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe e dá providências correlatas.;;http://www.cee.se.gov.br/arquivos/regularizacao_da_vida_escolar.pdf;RESOLUÇÃO NORMATIVA Nº 7 DE 2016
ceese-resolucao-8;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;6;2016-12-31;;;;Altera o art. 6º, da Resolução Normativa nº 5/2016/CEE, que estabelece diretrizes para a excepcionalidade da prática da docência, em caráter temporário, nas instituiçõeses educacionais integrantes do Sistema de Ensino do Estado de Sergipe que ofertam a Educação Básica.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_6_2016.pdf;RESOLUÇÃO NORMATIVA Nº 6 DE 2016
ceese-resolucao-9;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;5;2016-12-31;;;;"Estabelece diretrizes para a excepcionalidade da prática da docênciancia, em caráterter temporáriorio, nas
				instituiçõeses educacionais integrantes do Sistema de Ensino do Estado de Sergipe que ofertam a Educação Básica.";;http://www.cee.se.gov.br/arquivos/resolucao_normativa_5_2016.pdf;RESOLUÇÃO NORMATIVA Nº 5 DE 2016
ceese-resolucao-10;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;4;2016-12-31;;;;Altera os arts. 35 e 36, da Resolução Normativa n° 3/2014/CEE, que estabelece diretrizes complementares para a oferta da educação profissional no Sistema de Ensino do Estado de Sergipe, para a admissão de profissional graduado ou pós-graduado, não licenciado, no exercício da docência nos Cursos Técnicos previstos no Catálogo Nacional, editado pelo Ministério da Educação - MEC.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_n4_2016.pdf;RESOLUÇÃO NORMATIVA Nº 4 DE 2016
ceese-resolucao-11;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2016-12-31;;;;"Estabelece normas para a oferta de Educação a Distância - EAD em instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe
					e, em regime de colaboração, para as instituições educacionais pertencentes aos demais Estaduais de Ensino e dá providências correlatas.";;http://www.cee.se.gov.br/arquivos/resolucao_normativa_3_2016.pdf;RESOLUÇÃO NORMATIVA Nº 3 DE 2016
ceese-resolucao-12;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2016-12-31;;;;Altera os artigos 1° e 22 da Resolução Normativa nº 2/2013/CEE, que estabelece diretrizes para o funcionamento da Educação de Jovens e Adultos nas instituições educacionais pertencentes ao Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_2_14_04_2016.pdf;RESOLUÇÃO NORMATIVA Nº 2 DE 2016
ceese-resolucao-13;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;1;2016-12-31;;;;Altera o art. 52, da Resolução Normativa n° 5/2015/CEE, que estabelece diretrizes operacionais para elaboração do Projeto Político Pedagógico e seus instrumentos de execução das instituições de Educação Básica integrantes do Sistema de Ensino do Estado de Sergipe, objetivando disciplinar os processos em tramitação no CEE e ampliar o prazo de adequação de seu objeto fático.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_01_2016.pdf;RESOLUÇÃO NORMATIVA Nº 1 DE 2016
ceese-resolucao-14;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;5;2015-11-12;;;;Estabelece diretrizes operacionais para elaboração do Projeto Político Pedagógico e seus instrumentos de execução das instituições de Educação Básica integrantes do Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/Resolucao Normativa 5 Regimento.pdf;RESOLUÇÃO NORMATIVA N° 5, DE 12/11/2015
ceese-resolucao-15;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;4;2015-10-29;;;;Acrescenta o § 3° ao art. 31, da Resolução Normativa n° 2/2013/CEE, que estabelece diretrizes para o funcionamento da Educação de Jovens e Adultos nas instituições educacionais pertencentes ao Sistema de Ensino do Estado de Sergipe, para a inclusão do componente curricular Redação nos exames de suplência aplicados pela Secretaria de Estado de Educação - SEED.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_n4_2015.pdf;RESOLUÇÃO NORMATIVA N° 4, DE 29/10/2015
ceese-resolucao-16;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2015-09-17;;;;Estabelece procedimentos para transferência de mantença de instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_3_17_Setembro.pdf;RESOLUÇÃO NORMATIVA N° 3, DE 17/09/2015
ceese-resolucao-17;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2015-04-09;;;;Dispõe sobre a garantia da continuidade dos estudos aos alunos que não obtiveram aprovação, bem como àqueles que se encontram com distorção idade/série e dá providências correlatas.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_matricula.pdf;RESOLUÇÃO NORMATIVA N° 2, DE 09/04/2015
ceese-resolucao-18;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;1;2015-03-05;;;;Revoga dispositivos da Resolução Normativa nº 2/2014/CEE, que fixa normas para credenciamento, autorização de funcionamento, reconhecimento e renovação do reconhecimento para oferta dos níveis e modalidades de ensino da Educação Básica, nas instituições educacionais que integram ou instituições que pretendam integrar o Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_Revoga_positivos_Nov_2_2014.pdf;RESOLUÇÃO Nº1, DE 05/03/2015
ceese-resolucao-19;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;7;2015-03-05;;;;Institui Diretrizes Operacionais para a Educação Especial na Educação Básica, nas instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe e dá providências correlatas.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_n_7_Educacao_Especial.pdf;RESOLUÇÃO N° 7/2014
ceese-resolucao-20;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;6;2014-12-31;;;;Dispõe sobre a validade de atos autorizativos de instituições educacionais com oferta de anos iniciais ou anos finais do ensino fundamental emitidos com prazo indeterminado.;;http://www.cee.se.gov.br/arquivos/RESOLUCAO_NORMATIVA_N_6_ATOS_ AUTORIZ_ C_PRAZO_INDETERMINADO.pdf;- RESOLUÇÃO Nº 6/2014/CEE
ceese-resolucao-21;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;5;2014-12-31;;;;Estabelece diretrizes complementares ao Regimento do Conselho Estadual de Educação de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/resolucao_005.pdf;RESOLUÇÃO N°. 005, DE 04/09/2014
ceese-resolucao-22;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;4;2014-08-07;;;;Revoga o inciso X, do art. 25, da Resolução 2/2014/CEE, que fixa normas para credenciamento, autorização de funcionamento, reconhecimento e renovação do reconhecimento para oferta dos níveis e modalidades de ensino da Educação Básica, nas instituições educacionais que integram ou instituições que pretendam integrar o Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_04_altera_Resolucao_n_02_2014.pdf;RESOLUÇÃO N° 4, DE 7/8/2014
ceese-resolucao-23;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2014-05-05;;;;Estabelece diretrizes complementares para a oferta da educação profissional técnica de nível médio para o Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/Resolucao-Normativa-n-3-Educacao-Profissional.pdf;RESOLUÇÃO N° 3, DE 5/5/2014
ceese-resolucao-24;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2014-04-10;;;;Fixa normas para credenciamento, autorização de funcionamento, reconhecimento e renovação do reconhecimento para oferta dos níveis e modalidades de ensino da Educação Básica, nas instituições educacionais que integram ou instituições que pretendam integrar o Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/Resolucao_Normativa_n_ 02.2014_altera_Resolucao_n04.2012.pdf;RESOLUÇÃO N° 2, DE 10/4/2014
ceese-resolucao-25;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;1;2014-01-30;;;;Dispõe sobre a inclusão do nome social de travestis e transexuais nos registros escolares internos das instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/RESOLUCAO_NORMATIVA_N°_1.pdf;RESOLUÇÃO N° 1, DE 30/1/2014
ceese-resolucao-26;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2013-09-12;;;;Altera os §§ 1° e 2° e revoga o §3° do art. 31 da Resolução Normativa n° 2/2013/CEE, que estabelece diretrizes para o funcionamento da Educação de Jovens e Adultos nas instituições educacionais pertencentes ao Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/RESOLUCAO_NORMATIVA_3_de_12_setembro_de_2013.pdf;RESOLUÇÃO N° 3, DE 12/9/2013
ceese-resolucao-27;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2013-05-28;;;;Estabelece diretrizes para o funcionamento da Educação de Jovens e Adultos nas instituições educacionais pertencentes ao Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_numero_2_de_28_de_maio_de_2013.pdf;RESOLUÇÃO N° 2, DE 28/5/2013
ceese-resolucao-28;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;1;2013-02-28;;;;Recomenda a inclusão de conteúdos programáticos relativos aos direitos da mulher e outros assuntos com o recorte de gênero nos currículos da Educação Básica.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_1_2013_.pdf;RESOLUÇÃO Nº 1, DE 28/2/2013
ceese-resolucao-29;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;6;2012-12-06;;;;Estabelece diretrizes complementares para a excepcionalidade da prática da docência em caráter temporário nas instituições educacionais integrantes do Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_6_2012_cee_autorizacao_temporaria.pdf;RESOLUÇÃO N° 6, DE 6/12/2012
ceese-resolucao-30;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;5;2012-11-08;;;;Dispõe sobre encaminhamento de relações nominais de alunos concludentes do Ensino Médio em instituições educacionais públicas e privadas integrantes do Sistema de Ensino do Estado de Sergipe, ao Departamento de Inspeção Escolar - DIES/SEED.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa5_2012_relacao_de_alunos_ensino_medio.pdf;RESOLUÇÃO N° 5, DE 8/11/2012
ceese-resolucao-31;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;4;2012-11-01;;;;Fixa normas para credenciamento, autorização de funcionamento, reconhecimento e renovação do reconhecimento para oferta dos níveis e modalidades de ensino da Educação Básica, nas instituições educacionais públicas e privadas, integrantes do Sistema de Ensino do Estado de Sergipe e dá outras providências.;;http://www.cee.se.gov.br/arquivos/resolucao_normativa_4_2012_educacao_basica.pdf;RESOLUÇÃO N° 4, DE 1/11/2012 - Revogada pela Resolução Normativa n° 2/2014
ceese-resolucao-32;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;3;2012-07-25;;;;Estabelece procedimentos para regularização das instituições educacionais integantes do Sistema Estadual de Ensino de Sergipe que descumpriram o prazo para implementação do ensino fundamental com duração de nove anos, previsto na Resolução n° 334/2006/CEE.;;http://www.cee.se.gov.br/arquivos/Resolucao_003-2012-CEE__25-07-2012.pdf;RESOLUÇÃO N°3, DE 25/07/2012
ceese-resolucao-33;http://www.cee.se.gov.br/resolucoes_normativas.asp;resolucao;2;2012-06-19;;;;Estabelece normas para credenciamento e para autorização de funcionamento de cursos de especialização em nível de pós-graduação lato sensu e cursos de pós-graduação denominados de aperfeiçoamento ofertados em Escolas de Governo criadas e mantidas pelo Poder Público Estadual, pertencentes ao Sistema de Ensino do Estado de Sergipe.;;http://www.cee.se.gov.br/arquivos/Resolucao_002-2012-CEE__19-06-2012.pdf;RESOLUÇÃO N°2, DE 19/06/2012
