"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"cme_cuiaba-lei-1";"https://cmecuiaba.com.br/legislacao/#1533040441347-65b07c56-5122";"lei";"5.289/2009";"2009";"";"";"";"Institui o Sistema de Ensino do Município de Cuiabá";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/09/Lei-Nº-5.289-2009_Institui-o-Sistema-de-Ensino-do-Município-de-Cuiabá.pdf";"Lei Nº 5.289/2009"
"cme_cuiaba-lei-2";"https://cmecuiaba.com.br/legislacao/#1533040441347-65b07c56-5122";"lei";"5.354/2010";"2010";"";"";"";"Dispõe sobre a Organização, Estrutura, Funcionamento e a Composição do CME";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/09/Lei-Nº-5.354-2010_Dispõe-sobre-a-Organização-Estrutura-Funcionamento-e-a-Composição-do-CME.pdf";"Lei Nº 5.354/2010"
"cme_cuiaba-resolucao-1";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"01/2019";"2019";"";"";"";"DO CREDENCIAMENTO";"";"https://cmecuiaba.com.br/wp-content/uploads/2019/05/RESOLUÇÃO-NORMATIVA-nº-01-2019-DO-CREDENCIAMENTO.pdf";"RESOLUÇÃO NORMATIVA nº 01/2019/CME"
"cme_cuiaba-resolucao-2";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"001/2012";"2012";"";"";"";"Oferta da EJA no Sistema Municipal de Ensino de Cuiabá";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-001-2012-CME-CUIABÁ_Oferta-da-EJA-no-Sistema-Municipal-de-Ensino-de-Cuiabá.pdf";"Resolução Normativa Nº 001/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-3";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"02/2012";"2012";"";"";"";"Credenciamento de Inst. de Educ. do Sistema Municipal de Ensino de Cuiabá Revogada pela Resolução nº 01/2019 – Credenciamento";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-02-2012-CME-CUIABÁ_Credenciamento-de-Instituições-de-Educação-do-Sistema-Municipal-de-Ensino-de-Cuiabá.pdf";"Resolução Normativa Nº 02/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-4";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"03/2012";"2012";"";"";"";"Oferta da Educação Infantil no Sistema Municipal de Ensino de Cuiabá";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-03-2012-CME-CUIABÁ_Oferta-da-Educação-Infantil-no-Sistema-Municipal-de-Ensino-de-Cuiabá.pdf";"Resolução Normativa Nº 03/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-5";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"04/2012";"2012";"";"";"";"Autorização e Renovação da Autorização da Educação no Sistema Municipal de Ensino de Cuiabá";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-04-2012-CME-CUIABÁ_Autorização-e-renovação-da-autorização-da-educação-no-Sistema-Municipal-de-Ensino-de-Cuiabá.pdf";"Resolução Normativa Nº 04/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-6";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"05/2012";"2012";"";"";"";"Oferta da Educação Básica do Campo no Sistema Municipal de Ensino de Cuiabá";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-05-2012-CME-CUIABÁ_Oferta-da-Educação-Básica-do-Campo-no-Sistema-Municipal-de-Ensino-de-Cuiabá.pdf";"Resolução Normativa Nº 05/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-7";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"06/2012";"2012";"";"";"";"Gestão de Arquivamento de Documentação Escolar";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-06-2012-CME-CUIABÁ_Gestão-de-Arquivamento-de-Documentação-Escolar.pdf";"Resolução Normativa Nº 06/2012/CME/CUIABÁ"
"cme_cuiaba-resolucao-8";"https://cmecuiaba.com.br/legislacao/#1533040441388-bf188ae0-74ce";"resolucao";"07/2012";"2012";"";"";"";"Ensino da História e da Cultura Afro-brasileira e Indígena";"";"https://cmecuiaba.com.br/wp-content/uploads/2018/10/Resolução-Normativa-Nº-07-2012-CME-CUIABÁ_Ensino-da-História-e-da-Cultura-Afro-brasileira-e-Indígena.pdf";"Resolução Normativa Nº 07/2012/CME/CUIABÁ"
