Id;Url;Tipo;Numero;Data;Processo;Relator;Interessado;Ementa;Assunto;Documento;Titulo
cme_fortaleza-lei-1;http://cme.sme.fortaleza.ce.gov.br/index.php/com-phocadownload-tags/downloads/category/4-leis;lei;9317;14/12/2007;;;;;;http://cme.sme.fortaleza.ce.gov.br/index.php/com-phocadownload-tags/downloads/category/4-leis?download=74:lei-de-criacao-9317-de-14-12-07;Lei de criação
cme_fortaleza-parecer-1;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;;2011;;;;Pacto de colaboração para o credenciamento das instituições privadas de Educação Infantil, Ensino Fundamental e/ou Médio, formulada pelo CEE e pelo CME.;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=72:pacto-colaboracao-cee-cme-2011-pdf;Pacto Colaboracao CEE-CME 2011
cme_fortaleza-parecer-2;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;08/2011;15 junho de 2011;;;;Orienta sobre o cumprimento dos dias e da carga horária mínima anual de efetivo trabalho pedagógico nas escolas municipais de Fortaleza, em casos de interrupção temporária do calendário escolar e posterior retorno às atividades escolares para efeito de conclusão do Ano Letivo.;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=73:parecer-n08-15jun2011;Parecer n°08 15 junho de 2011
cme_fortaleza-parecer-3;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;;;;;;Orienta as instituições de ensino do Sistema Municipal de Ensino de Fortaleza sobre a temática Alienação Parental.;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=120:parecer-sobre-alienacao-parental;Parecer sobre Alienação Parental
cme_fortaleza-parecer-4;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;106/2014;2014;;;;Respode a solicitação da SME para apreciação e homologação da Proposta Pedagógica das ETI\'s para fins de credenciamento das instituições municipais que ofertam essa modalidade.;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=123:parecer-n-106-2014-eti;Parecer n° 106/2014 - ETI
cme_fortaleza-parecer-5;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;;;;;;Orienta sobre Progressão Parcial de Estudantes do Ensino Fundamental, do 6º ao 8º ano, das Escolas da Rede Municipal de Ensino de Fortaleza.;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=132:parecer-sobre-progressao-parcial;Parecer sobre Progressão Parcial
cme_fortaleza-parecer-6;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;109/2018;2018;;;;;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=162:parecer-cme-n-109-2018;Parecer CME Nº 109/2018
cme_fortaleza-parecer-7;http://cme.sme.fortaleza.ce.gov.br/index.php/e;parecer;192/2018;2018;;;;;;http://cme.sme.fortaleza.ce.gov.br/index.php/e?download=164:parecer-cme-n-192-2018;PARECER CME Nº 192/2018
cme_fortaleza-resolucao-1;http://cme.sme.fortaleza.ce.gov.br/index.php/resolucoes;resolucao;001/2009;2009;;;;do Ensino Fundamental;;http://cme.sme.fortaleza.ce.gov.br/index.php/resolucoes?download=47:resol-cme-001-2009;Resolução Nº 001/2009
cme_fortaleza-resolucao-2;http://cme.sme.fortaleza.ce.gov.br/index.php/resolucoes;resolucao;002/2010;2010;;;;da Educação Infantil;;http://cme.sme.fortaleza.ce.gov.br/index.php/resolucoes?download=49:resol-cme-002-2010;Resolução Nº 002/2010
