"Id";"Url";"Tipo";"Numero";"Data";"Processo";"Relator";"Interessado";"Ementa";"Assunto";"Documento";"Titulo"
"cme_porto_alegre-resolucao-1";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"002/1998";"1998";"";"";"";"Determina procedimentos para estabelecimentos do SME que desenvolvem experiências pedagógicas.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00298.pdf";"Resolução CME/PoA nº 002/1998"
"cme_porto_alegre-resolucao-2";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"001/1999";"1999";"";"";"";"Cria o cadastro de mantenedoras de estabelecimentos privados do SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00199.pdf";"Resolução CME/PoA nº 001/1999"
"cme_porto_alegre-resolucao-3";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"002/2000";"2000";"";"";"";"Estabelece normas para estabelecimentos de ensino fundamental e médio do SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00200.pdf";"Resolução CME/PoA nº 002/2000"
"cme_porto_alegre-resolucao-4";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"003/2001";"2001";"";"";"";"Estabelece normas para a oferta da educação infantil no SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00301.pdf";"Resolução CME/PoA nº 003/2001"
"cme_porto_alegre-resolucao-5";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"004/2001";"2001";"";"";"";"Fixa normas para estabelecimentos de educação infantil do SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00401.pdf";"Resolução CME/PoA nº 004/2001"
"cme_porto_alegre-resolucao-6";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"005/2002";"2002";"";"";"";"Fixa normas para credenciamento, autorização e supervisão das instituições de educação básica do SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00502.pdf";"Resolução CME/PoA nº 005/2002"
"cme_porto_alegre-resolucao-7";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"006/2003";"2003";"";"";"";"Fixa normas para a elaboração de projeto político-pedagógico e regimento escolar do SME.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00603.pdf";"Resolução CME/PoA nº 006/2003"
"cme_porto_alegre-resolucao-8";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"007/2003";"2003";"";"";"";"Altera o Artigo 22 da Resolução do CME-PoA nº 005/02.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res00703.pdf";"Resolução CME/PoA nº 007/2003"
"cme_porto_alegre-resolucao-9";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"008/2006";"2006";"";"";"";"Fixa normas para a oferta de Ensino Fundamental na Rede Municipal de Ensino.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/resolucao_cme_08_2006.lnk.pdf";"Resolução CME/PoA nº 008/2006"
"cme_porto_alegre-resolucao-10";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"009/2009";"2009";"";"";"";"Estabelece diretrizes para a oferta da Modalidade de Educação de Jovens e Adultos - , ensino fundamental, nas instituições de educação da Rede Municipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res.009.2009_.pdf";"Resolução CME/PoA nº 009/2009"
"cme_porto_alegre-resolucao-11";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"010/2010";"2010";"";"";"";"Fixa normas para a oferta de Cultura Religiosa no ensino fundamental, na educação de jovens e adultos e no ensino médio das escolas públicas do Sistema Municipal de Ensino.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res_010_2010.pdf";"Resolução CME/PoA nº 010/2010"
"cme_porto_alegre-resolucao-12";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"012/2013";"2013";"";"";"";"Estabelece Normas para a Criação de Escolas Públicas – Estabelecimentos de educação infantil e ensino fundamental, no Sistema Municipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res._012.2013.pdf";"Resolução CME/PoA nº 012/2013"
"cme_porto_alegre-resolucao-13";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"013/2013";"2013";"";"";"";"Dispõe sobre as diretrizes para a Educação Especial no Sistema Municipal de Ensino na perspectiva da educação inclusiva.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/013.2013.pdf";"Resolução CME/PoA nº 013/2013"
"cme_porto_alegre-resolucao-14";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"014/2013";"2013";"";"";"";"Responde consulta da Escola Infantil Lúdica Ltda – ME sita à rua Zuzu Angel, nº 251, Aberta dos Morros, no município de Porto Alegre. Determina providências.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/res._014.2014.pdf";"Resolução CME/PoA nº 014/2013"
"cme_porto_alegre-resolucao-15";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"015/2014";"2014";"";"";"";"Fixa normas para a Educação Infantil no SistemaMunicipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/refantil.pdf";"Resolução CME/PoA nº 015/2014"
"cme_porto_alegre-resolucao-16";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"016/2016";"2016";"";"";"";"Dispõe normas, orienta e define procedimentos às escolas da Rede Municipal de Ensino, nas etapas do ensino fundamental e médio e suas modalidades, quanto ao controle e acompanhamento da frequência escolar, dos afastamentos e das situações de infrequência, objetivando a permanência, a aprendizagem e o avanço dos estudantes.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/resolucao_16_2016_aprovada.pdf";"Resolução CME/PoA nº 016/2016"
"cme_porto_alegre-resolucao-17";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"017/2016";"2016";"";"";"";"Fixa normas para credenciamento, autorização e supervisão de funcionamento das instituições que ofertam as diferentes etapas da Educação Básica e suas modalidades. Regula procedimentos correlatos decorrentes das funções do Sistema Municipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/resolucao_017_2016_revisado.pdf";"Resolução CME/PoA nº 017/2016"
"cme_porto_alegre-resolucao-18";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"018/2018";"2018";"";"";"";"Estabelece as Diretrizes Curriculares para a oferta da Educação em e para os Direitos Humanos no Sistema Municipal de Ensino.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/resolucao_018_2018.pdf";"Resolução CME/PoA nº 018/2018"
"cme_porto_alegre-resolucao-19";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=613";"resolucao";"019/2018";"2018";"";"";"";"Altera o artigo 21 da Resolução CME/PoA n.º 17/2016.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/resolucao_019_2018.pdf";"Resolução CME/PoA nº 019/2018"
"cme_porto_alegre-indicacao-1";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"001/1999";"1999";"";"";"";"Define critérios de bolsas de estudos, para 1999, dos convênios da Prefeitura de Porto Alegre e estabelecimentos particulares.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indi00199.pdf";"Indicação CME/PoA nº 001/1999"
"cme_porto_alegre-indicacao-2";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"001/2000";"2000";"";"";"";"Define critérios de bolsas de estudo dos convênios da Prefeitura de Porto Alegre e estabelecimentos particulares.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indi00100.pdf";"Indicação CME/PoA nº 001/2000"
"cme_porto_alegre-indicacao-3";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"002/2002";"2002";"";"";"";"Define critérios de capacitação de educador assistente para atuar com o professor da educação infantil.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indi00202.pdf";"Indicação CME/PoA nº 002/2002"
"cme_porto_alegre-indicacao-4";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"003/2004";"2004";"";"";"";"Altera critériospara concessão de Bolsas de Estudo destinadas à Educação Básica advindas de convênios celebrados entre a Prefeitura Municipal de Porto Alegre e Estabelecimentos Privado de Ensino e dá outras providências.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/ind003.04.pdf";"Indicação CME/PoA nº 003/2004"
"cme_porto_alegre-indicacao-5";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"004/2005";"2005";"";"";"";"Altera a redaçãodo inciso I do item 2.3, da indicãção CME/POA n° 003/2004, que ""Altera critériospara concessão de Bolsas de Estudo destinadas à Educação Básica advindas de convênios celebrados entre a Prefeitura Municipal de Porto Alegre e Estabelecimentos Privado de Ensino e dá outras providências"".";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/ind004.05.pdf";"Indicação CME/PoA nº 004/2005"
"cme_porto_alegre-indicacao-6";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"005/2005";"2005";"";"";"";"Manifesta-se sobre os convênios, acordosou contratos relativos a assuntos educacionais - área fim - que oPoder Público Municipal pretenda celebrar, estabelecendo os princípios, as condições gerais e os procedimentos para o cumprimento do previsto no art. 10, inc. III da Lei n° 8.198/98.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/ind005.05.pdf";"Indicação CME/PoA nº 005/2005"
"cme_porto_alegre-indicacao-7";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"006/2012";"2012";"";"";"";"Manifesta-se sobre o processo de rematrícula na Rede Municipal de Ensino.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_006.2012-portaria_606.pdf";"Indicação CME/PoA nº 006/2012"
"cme_porto_alegre-indicacao-8";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"007/2013";"2013";"";"";"";"Orienta as escolas e os Conselhos Tutelares para o cumprimento dos artigos 6º e 8º do Termo de Cooperação referente a Ficha de Comunicação do Aluno Infrequente - FICAI.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_007.13.pdf";"Indicação CME/PoA nº 007/2013"
"cme_porto_alegre-indicacao-9";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"008/2013";"2013";"";"";"";"Manifesta-se sobre o uso de câmeras de videomonitoramento nos estabelecimentos do Sistema Municipal de Ensino- SME/PoA.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_008.13.pdf";"Indicação CME/PoA nº 008/2013"
"cme_porto_alegre-indicacao-10";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"009/2014";"2014";"";"";"";"Manifesta-se sobre o fornecimento e uso de uniforme escolar para os(as) estudantes da Rede Municipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_009.14.pdf";"Indicação CME/PoA nº 009/2014"
"cme_porto_alegre-indicacao-11";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"010/2015";"2015";"";"";"";"Define critérios de Cursos de Capacitação para Profissionais de Apoio à Inclusão, conforme estabelece o artigo 46 da Resolução nº 013/2013 do CME/PoA.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_apoio_inclusao_010_15.pdf";"Indicação CME/PoA nº 010/2015"
"cme_porto_alegre-indicacao-12";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"011/2015";"2015";"";"";"";"Define critérios critérios para oferta de Cursos de capacitação para profissionais de apoio na Educação Infantil, para o Sistema Municipal de Ensino de Porto Alegre, conforme estabelece o § 1º do artigo 24 da Resolução nº 015/2015 do CME/PoA.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_011_15_apoio_edinfantil.pdf";"Indicação CME/PoA nº 011/2015"
"cme_porto_alegre-indicacao-13";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"012/2016";"2016";"";"";"";"Manifesta-se sobre a designação dos novos membros no Conselho Municipal de Educação de Porto Alegre e duração do primeiro mandato, em decorrência da Lei Complementar nº 795, de 13 de maio de 2016, que “Altera a composição do Conselho Municipal de Educação – CME/PoA e dá outras providências”.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_012_2016.pdf";"Indicação CME/PoA nº 012/2016"
"cme_porto_alegre-indicacao-14";"https://www2.portoalegre.rs.gov.br/smed/default.php?p_secao=614";"indicacao";"013/2018";"2018";"";"";"";"Dispõe sobre a expedição de Documento de Acompanhamento de Percurso Educacional da etapa de educação infantil do Sistema Municipal de Ensino de Porto Alegre.";"";"http://lproweb.procempa.com.br/pmpa/prefpoa/smed/usu_doc/indicacao_13_2018_ei_dape.pdf";"Indicação CME/PoA nº 013/2018"
